pop_agua,cod_municipio,pop_2021,pop_agua_porcentagem
10519.0,1100015,22728,0.46282118972192887
94137.0,1100023,109523,0.8595180920902459
2432.0,1100031,5188,0.46877409406322285
68101.0,1100049,85893,0.7928585565762053
10312.0,1100056,16204,0.6363860775117255
13164.0,1100064,15544,0.8468862583633556
2080.0,1100072,7220,0.2880886426592798
3630.0,1100080,18798,0.19310564953718481
15980.0,1100098,32695,0.48875974919712495
20326.0,1100106,46556,0.43659249076381135
25734.0,1100114,51620,0.4985277024409144
91052.0,1100122,130009,0.7003515141259451
13131.0,1100130,40867,0.321310592898916
6962.0,1100148,20489,0.3397920835570306
26335.0,1100155,35737,0.736911324397683
32266.0,1100189,36881,0.87486781811773
142986.0,1100205,539354,0.2651060342557949
10827.0,1100254,18571,0.5830057616714232
645.0,1100262,3804,0.1695583596214511
45601.0,1100288,55407,0.823018752143231
3026.0,1100296,6216,0.4868082368082368
99975.0,1100304,102211,0.9781236853176273
5188.0,1100320,23077,0.22481258395805348
3574.0,1100338,31392,0.1138506625891947
7739.0,1100346,14106,0.5486317878916773
3078.0,1100379,13255,0.23221425877027538
1402.0,1100403,21847,0.0641735707419783
5099.0,1100452,40356,0.12635048072157795
1375.0,1100502,8329,0.1650858446392124
777.0,1100601,6269,0.12394321263359387
3855.0,1100700,14266,0.2702229076125053
12103.0,1100809,27388,0.4419088651964364
683.0,1100908,2987,0.22865751590224306
11640.0,1100924,11472,1.0146443514644352
1900.0,1100940,26183,0.07256616888820991
2809.0,1101203,9559,0.2938591902918715
2635.0,1101302,10818,0.24357552227768534
5459.0,1101401,16007,0.3410382957456113
1027.0,1101435,6895,0.14894851341551849
783.0,1101450,6198,0.12633107454017425
1048.0,1101468,2148,0.48789571694599626
1191.0,1101484,5066,0.2350967232530596
1560.0,1101492,20681,0.07543155553406508
3417.0,1101500,11851,0.2883300987258459
144.0,1101559,4233,0.03401842664776754
892.0,1101609,10395,0.08581048581048581
2205.0,1101708,11272,0.19561745919091555
1381.0,1101757,11377,0.1213852509448888
5589.0,1200013,15490,0.3608134280180762
5288.0,1200054,7534,0.7018847889567295
15939.0,1200104,26702,0.596921578907947
5688.0,1200138,10420,0.545873320537428
4420.0,1200179,12008,0.3680879413724184
45366.0,1200203,89072,0.509318304293156
11596.0,1200252,18696,0.6202396234488661
6285.0,1200302,34884,0.18016855865153078
3222.0,1200328,8473,0.38026672961170777
11770.0,1200336,19311,0.6094971777743255
6768.0,1200344,9581,0.7063980795324079
5235.0,1200351,19299,0.2712575781128556
8764.0,1200385,19955,0.4391881733901278
4304.0,1200393,12241,0.3516052610080876
254714.0,1200401,413418,0.6161173437054023
5623.0,1200427,19351,0.2905792982274818
2714.0,1200435,6717,0.4040494268274527
7154.0,1200450,23236,0.30788431743845757
15774.0,1200500,46511,0.3391455784653093
14235.0,1200609,43151,0.3298880674839517
10339.0,1200708,19596,0.5276076750357216
4054.0,1200807,18824,0.21536336591585212
2724.0,1300029,16220,0.16794081381011097
8592.0,1300201,20398,0.42121776644769093
10860.0,1300300,40290,0.2695457930007446
27772.0,1300409,27638,1.0048483971343802
32919.0,1300508,32483,1.0134224055659884
20940.0,1300607,43935,0.47661317855923524
10500.0,1300631,20093,0.5225700492708903
9892.0,1300680,19626,0.5040252725975747
34958.0,1300706,34635,1.009325826476108
41256.0,1300805,41748,0.9882150043115838
12733.0,1300904,15807,0.8055291959258556
21219.0,1301001,28508,0.7443173845937983
24496.0,1301100,38348,0.6387816835297799
2500.0,1301159,30846,0.08104778577449265
10814.0,1301209,85910,0.1258759166569666
15500.0,1301308,29168,0.5314042786615469
22500.0,1301407,35700,0.6302521008403361
15990.0,1301506,20393,0.7840925807875251
10870.0,1301605,17005,0.6392237577183182
12700.0,1301654,16937,0.7498376335832793
56144.0,1301704,56144,1.0
27860.0,1301803,30436,0.9153633854645814
35330.0,1301852,49011,0.7208585827671339
103145.0,1301902,102701,1.0043232295693323
3366.0,1301951,7814,0.4307652930637318
8312.0,1302009,9230,0.9005417118093174
10000.0,1302207,15106,0.6619886137958427
29000.0,1302405,46882,0.6185742929055927
71000.0,1302504,98502,0.7207975472579237
10000.0,1302553,33049,0.30258101606705196
2199581.0,1302603,2219580,0.9909897367970517
25504.0,1302702,56583,0.4507360868105261
12000.0,1303007,21443,0.5596231870540502
23000.0,1303106,38026,0.604849313627518
18655.0,1303205,19928,0.9361200321156162
26443.0,1303304,26046,1.0152422636873224
112000.0,1303403,115363,0.9708485389596317
16000.0,1303536,37193,0.4301884763261904
18256.0,1303569,34106,0.5352723860904239
10000.0,1303601,25865,0.38662284941040015
23647.0,1303809,46303,0.5107012504589336
14052.0,1303908,40073,0.35066004541711376
8000.0,1304005,9230,0.866738894907909
30000.0,1304062,67182,0.446548182548897
16370.0,1304104,17015,0.9620922715251249
48274.0,1304203,59547,0.8106873562060222
9920.0,1304237,18897,0.5249510504312854
13839.0,1304260,13690,1.0108838568298029
16007.0,1304302,16130,0.992374457532548
3019.0,1400027,13185,0.22897231702692453
6032.0,1400050,15380,0.3921976592977893
426547.0,1400100,419652,1.0164302803275094
6557.0,1400159,12557,0.5221788643784343
9374.0,1400175,18799,0.49864354486940793
16327.0,1400209,22283,0.7327110353184042
5134.0,1400233,10383,0.4944621015120871
6515.0,1400282,12296,0.529847104749512
12307.0,1400308,18172,0.6772507153863087
3833.0,1400407,11532,0.33237946583420047
8700.0,1400456,18913,0.46000105747369535
16773.0,1400472,30782,0.544896368007277
5786.0,1400506,8348,0.6931001437470052
6631.0,1400605,8110,0.817632552404439
