cod_municipio,doencas_infecciosas,populacao,doencas_infecciosas_100k
1502152,37,38103,97.10521481248196
1502202,198,69431,285.17520992064067
1502301,40,54425,73.49563619660083
1502400,506,203251,248.9532646825846
1502608,6,12131,49.4600610007419
1502707,69,47991,143.7769581796587
1502756,7,33781,20.72170746869542
1502764,3,13761,21.800741225201655
1502772,10,17846,56.03496581867085
1502806,14,34994,40.006858318568895
1502855,6,14587,41.13251525330774
1502905,52,40584,128.12931204415534
1502939,35,60469,57.88089765003555
1502954,12,33940,35.35651149086623
1503002,1,7070,14.144271570014144
1503077,8,26111,30.63842824863085
1503093,7,41081,17.03950731481707
1503101,4,33755,11.850096282032291
1503200,60,39023,153.7554775388873
1503309,39,63036,61.8694079573577
1503408,3,11861,25.292976983390943
1503457,18,65625,27.428571428571427
1503507,13,32595,39.88341770210155
1503606,242,101395,238.67054588490558
1503705,15,53355,28.1135788585887
1503754,33,7590,434.7826086956522
1503804,14,59842,23.39494000868955
1503903,120,58960,203.52781546811397
1504000,24,29282,81.96161464380849
1504059,30,30235,99.22275508516621
1504109,2,8573,23.329056339671062
1504208,834,283542,294.1363184290158
1504307,33,29516,111.80376744816371
1504406,20,28450,70.29876977152901
1504422,185,133685,138.38500953734524
1504455,4,31975,12.509773260359657
1504505,19,27890,68.12477590534242
1504604,25,31530,79.2895654931811
1504703,35,83182,42.07641076194369
1504752,1,16184,6.178942165101334
1504802,76,58162,130.66950930160587
1504901,23,40906,56.22647044443358
1504950,9,21444,41.96978175713486
1504976,4,16854,23.733238400379733
1505007,2,15506,12.898232942086933
1505031,27,25766,104.78925716059925
1505064,25,77214,32.3775481130365
1505106,63,52306,120.4450732229572
1505205,37,32850,112.63318112633182
1505304,71,74016,95.92520536100302
1505403,15,17961,83.51428094204108
1505437,17,33335,50.99745012749362
1505486,9,48414,18.589664146734414
1505494,2,7582,26.37826431020839
1505502,262,114503,228.81496554675425
1505536,347,213576,162.47143873843504
1505650,2,31659,6.317318929846174
1505700,16,31549,50.71476116517164
1505809,49,62945,77.84573834299785
1505908,13,41801,31.09973445611349
1506005,19,29846,63.66012195939154
1506104,4,10857,36.8425900340794
1506112,7,13702,51.08743249160706
1506138,222,85563,259.45794326987135
1506161,10,18201,54.94203615185978
1506187,17,52803,32.195140427627216
1506195,21,51500,40.77669902912621
1506203,74,40922,180.83182640144665
1506302,13,24075,53.99792315680166
1506351,17,21449,79.25777425521004
1506401,9,10314,87.26003490401396
1506500,44,71837,61.24977379344906
1506559,6,19843,30.237363301920073
1506583,4,21850,18.30663615560641
1506609,17,24995,68.0136027205441
1506708,16,74419,21.499885781856786
1506807,1066,306480,347.8204124249543
1506906,1,6753,14.808233377758034
1507003,30,31918,93.9908515571151
1507102,27,18129,148.93264934635116
1507151,11,25753,42.713470275307735
1507201,10,32139,31.114844892498212
1507300,24,132138,18.16282976887799
1507458,15,24705,60.71645415907712
1507466,4,6217,64.33971368827409
1507474,24,23244,103.25245224574084
1507508,3,14051,21.35079353782649
1507607,56,59632,93.90931043734908
1507706,15,26974,55.60910506413584
1507755,4,6009,66.56681644200366
1507805,5,11480,43.55400696864111
1507904,19,25565,74.32035986700566
1507953,100,108969,91.76921876864063
1507961,3,11847,25.322866548493288
1507979,12,18917,63.435005550562984
1508001,56,64030,87.45900359206622
1508035,3,31257,9.597850081581726
1508050,14,19168,73.03839732888147
1508084,40,40136,99.6611520829181
1508100,316,115144,274.4389633849788
1508126,38,60761,62.54011619295271
1508159,8,45435,17.607571255639925
1508209,62,54172,114.45026951192499
1508308,34,61751,55.0598370876585
1508357,14,15279,91.62903331369854
1508407,25,45086,55.449585237102426
1600055,1,5488,18.221574344023324
1600105,4,9187,43.539784478066835
1600154,3,17067,17.577781683951486
1600204,2,11306,17.68972227136034
1600238,2,7967,25.103552152629597
1600279,93,51362,181.06771543164206
1600303,1422,512902,277.2459456192411
1600402,6,22053,27.207182696231804
1600501,26,27906,93.16992761413316
1600535,7,22452,31.177623374309636
1600550,1,5246,19.062142584826535
1600600,301,123096,244.5245986872035
1600709,4,17769,22.511114862963588
1600808,4,16254,24.60932693490833
1700301,4,6892,58.03830528148578
1700707,11,8396,131.0147689375893
1701002,8,9492,84.28150021070375
1701101,2,4848,41.254125412541256
1702000,8,8467,94.48446911538916
1702109,591,183381,322.27984360429923
1702158,3,5793,51.78663904712584
1702208,11,36170,30.411943599668234
1702307,14,6616,211.60822249093107
1702406,2,10534,18.98614011771407
1702554,139,18643,745.5881564125946
1703073,1,4632,21.588946459412778
1703107,1,5651,17.695983011856306
1703206,2,4448,44.96402877697842
1703842,1,10312,9.69743987587277
1703909,3,5442,55.12679162072767
1705102,2,3331,60.04202942059442
1705508,29,35851,80.89035173356392
1707009,3,22424,13.37852301105958
1707108,2,6943,28.805991646262424
1707207,1,7185,13.917884481558804
1708205,5,18399,27.175389966846023
1709005,5,13095,38.18251240931654
1709302,39,26165,149.0540798776992
1709500,166,87545,189.61676851904733
1710508,7,7452,93.93451422436931
1711100,2,2420,82.64462809917354
1711902,1,13676,7.312079555425563
1712405,2,3733,53.576212161800164
1712504,4,5254,76.13247049866769
1713205,43,17936,239.74130240856377
1713304,1,13493,7.411250277921885
1714203,5,9250,54.054054054054056
1714302,1,3834,26.08242044861763
1714880,5,11917,41.95686833934715
1715101,2,4397,45.48555833522856
1715705,1,6131,16.31055292774425
1715754,3,7676,39.08285565398645
1716109,43,51891,82.86600759283883
1716505,14,13773,101.64815218180497
1717503,2,7743,25.82978173834431
1717800,2,4591,43.56349379220214
1718204,69,53316,129.417060544677
1718303,1,8498,11.767474699929394
1718758,4,6488,61.652281134401974
1718808,3,4794,62.57822277847309
1718865,2,7595,26.333113890717573
1720200,1,12294,8.134049129656743
1720309,2,4852,41.22011541632317
1720499,1,3904,25.614754098360656
1720655,4,5428,73.69196757553426
1720903,6,16825,35.661218424962854
1720937,3,2166,138.50415512465375
1721000,826,306296,269.67377961187873
1721208,20,22845,87.54650908295032
1722107,14,11520,121.52777777777779
2100055,244,113121,215.6982346337108
2100204,6,22112,27.134587554269178
2100303,3,26757,11.21201928467317
2100436,37,27858,132.8164261612463
2100477,34,31943,106.43959552953699
2100600,18,41729,43.135469337870546
2100709,2,26988,7.410701052319549
2100808,4,15894,25.16672958349062
2100832,7,17413,40.19985068626888
2100873,3,15551,19.29136389942769
2100907,11,46771,23.5188471488743
2100956,13,32764,39.677695031131734
2101004,10,29932,33.40906053721769
2101202,320,104790,305.3726500620288
2101251,6,17252,34.778576396939485
2101301,3,18654,16.08234158893535
2101400,186,95929,193.8934003273254
2101509,2,18924,10.56859015007398
2101608,65,88492,73.452967499887
2101707,72,63217,113.8934147460335
2101731,2,7528,26.567481402763015
2101772,4,11279,35.4641368915684
2101806,1,5638,17.7367860943597
2101905,11,21299,51.645617165125124
2101970,3,8382,35.79098067287043
2102002,28,41822,66.95040887571135
2102036,24,34567,69.43038157780542
2102077,2,16438,12.166930283489474
2102101,24,36651,65.48252435131374
2102150,2,9014,22.18770800976259
2102200,15,28798,52.086950482672414
2102309,13,23939,54.30469108985337
2102325,42,72983,57.54764808243016
2102358,2,15467,12.930755802676666
2102374,4,9478,42.20299641274531
2102408,2,11216,17.83166904422254
2102507,4,19451,20.564495398694156
2102556,9,14453,62.2708088286169
2102606,9,20278,44.38307525396982
2102705,2,22117,9.04281774200841
2102754,8,10935,73.15957933241884
2102804,14,24165,57.935030002069105
2102903,26,23952,108.55043420173682
2103000,489,165525,295.42365201631173
2103158,6,13670,43.891733723482076
2103208,155,80195,193.27888272336182
2103257,2,14777,13.534546931041485
2103307,172,123116,139.70564345820202
2103406,33,49621,66.50410108623365
2103505,31,41312,75.03872966692487
2103554,4,16400,24.390243902439025
2103604,238,65544,363.11485414378126
2103703,59,32626,180.8373689695335
2103802,5,23372,21.393119972616805
2103901,2,11401,17.542320849048327
2104008,13,17104,76.00561272217026
2104057,18,42527,42.326051684812
2104073,5,8484,58.934464875058936
2104081,5,10460,47.80114722753346
2104099,1,19258,5.192647211548447
2104107,14,12647,110.6981892939037
2104206,9,17790,50.5902192242833
2104305,1,11963,8.359107247345984
2104404,4,17944,22.29157378510923
2104503,4,10886,36.74444240308654
2104602,2,14656,13.646288209606986
2104651,5,10151,49.25623091321052
2104677,23,25539,90.05834214338854
2104701,3,6261,47.91566842357451
2104800,126,70065,179.8330122029544
2104909,4,11997,33.34166875052096
2105005,11,28932,38.02018526199364
2105104,6,27269,22.003007077633942
2105153,5,14324,34.9064507120916
2105203,4,11387,35.12777728989198
2105302,1325,259337,510.918226091919
2105401,39,68723,56.7495598271321
2105427,15,26068,57.54181371796839
2105476,8,17040,46.948356807511736
2105500,3,23740,12.636899747262003
2105609,4,16198,24.69440671687863
2105708,140,50616,276.59238185553977
2105807,1,10869,9.200478424878094
2105906,8,16314,49.0376363859262
2105922,1,11265,8.87705281846427
2105989,2,7602,26.308866087871614
2106003,10,11918,83.90669575432119
2106102,8,12214,65.49860815457671
2106201,3,6984,42.955326460481096
2106300,2,20029,9.985520994557891
2106326,4,21586,18.53052904660428
2106359,2,7775,25.723472668810288
2106375,1,16511,6.056568348373811
2106409,5,16977,29.451611003121872
2106508,7,23482,29.81006728558044
2106607,7,33943,20.622808826562178
2106672,2,8483,23.576564894494872
2106706,7,21031,33.28419951500167
2106755,12,28754,41.73332405926132
2106805,2,15011,13.323562720671507
2106904,22,33664,65.35171102661596
2107001,3,9111,32.927230819888045
2107100,18,19572,91.96811771919067
2107209,1,14642,6.8296680781314025
2107258,1,5427,18.426386585590567
2107357,4,21080,18.975332068311197
2107407,6,19561,30.67327846224631
2107456,6,14836,40.44216770018873
2107506,22,123747,17.77820876465692
2107605,1,19781,5.055356149840756
2107704,6,21479,27.93426137157223
2107803,5,35008,14.282449725776965
2107902,8,19137,41.8038355019073
2108009,1,19583,5.106469897359955
2108058,2,16166,12.371644191513052
2108207,134,39191,341.9152356408359
2108256,2,25354,7.888301648655045
2108306,21,38731,54.220133742996566
2108405,2,14345,13.94214011850819
2108454,34,23364,145.5230268789591
2108504,12,33065,36.29215182216846
2108603,191,83777,227.9862014634088
2108702,7,21379,32.74241077693063
2108801,3,18720,16.025641025641026
2108900,18,17595,102.30179028132991
2109007,32,24092,132.82417399966795
2109056,2,5955,33.58522250209908
2109106,263,48036,547.5060371388125
2109270,6,19069,31.464680895694585
2109304,1,11261,8.880206020779681
2109452,18,31177,57.73486865317381
2109502,23,20334,113.1110455394905
2109551,4,7825,51.11821086261981
2109601,2,42994,4.651811880727544
2109700,4,5679,70.43493572812115
2109809,21,42483,49.43153732081067
2109908,330,89489,368.7604063069204
2110005,25,72887,34.299669351187454
2110039,31,25371,122.1867486500335
2110104,16,25764,62.102158049992234
2110203,9,38298,23.499921666927776
2110237,2,13547,14.763416254521298
2110278,1,16034,6.236746912810279
2110302,7,14522,48.20272689712161
2110401,2,18717,10.685473099321472
2110500,13,45604,28.506271379703534
2110609,8,28667,27.90665224822967
2110658,6,7420,80.86253369272238
2110708,1,34384,2.908329455560726
2110906,9,12218,73.66181044360779
2111003,3,20701,14.492053523984348
2111029,6,15787,38.00595426616837
2111078,1,18645,5.363368195226602
2111102,51,25996,196.184028312048
2111201,319,179028,178.18441807985343
2111300,2601,1108975,234.54090488965036
2111409,5,18727,26.69941795268863
2111508,48,41579,115.4428918444407
2111532,1,12735,7.852375343541421
2111573,6,4684,128.09564474807857
2111607,23,18980,121.18018967334037
2111631,1,5131,19.489378288832587
2111706,2,22350,8.94854586129754
2111748,1,11214,8.917424647761727
2111763,2,14050,14.234875444839856
2111805,5,18160,27.533039647577095
2112001,4,8582,46.60918200885575
2112100,35,29183,119.93283761093788
2112209,340,170222,199.73916415034483
2112233,43,22112,194.46454413892909
2112308,6,42040,14.2721217887726
2112407,6,35709,16.80248676804167
2112506,16,59398,26.93693390349843
2112605,4,33459,11.954929914223378
2112704,23,57168,40.23229778897286
2112803,14,52649,26.591198313358277
2112902,3,32861,9.129363074769483
2113009,15,31522,47.58581308292621
2114007,43,51956,82.76233736238355
2200103,1,5131,19.489378288832587
2200202,27,17470,154.55065827132225
2200251,4,7665,52.185257664709724
2200301,2,14339,13.947974056768253
2200400,6,40605,14.776505356483192
2200459,1,5445,18.365472910927455
2200509,9,17604,51.12474437627812
2200608,8,6783,117.94191360754829
2200905,1,5827,17.16148961729878
2200954,1,2551,39.20031360250882
2201101,5,11326,44.14621225498852
2201150,7,11671,59.977722560191935
2201200,31,47185,65.69884497191904
2201408,3,7027,42.692471894122676
2201507,2,26905,7.433562534844825
2201606,5,10473,47.74181227919412
2201705,3,5507,54.47612130016343
2201804,1,4505,22.197558268590456
2201903,78,25387,307.24386497026035
2201919,1,5651,17.695983011856306
2202000,9,19807,45.43848134497905
2202083,1,7674,13.031013812874642
2202109,5,5620,88.9679715302491
2202133,1,5965,16.764459346186086
2202174,1,7311,13.678019422787582
2202208,50,46893,106.62572238926919
2202251,1,3944,25.35496957403651
2202307,8,21258,37.632891146862356
2202539,1,5890,16.977928692699493
2202604,5,19715,25.3613999492772
2202653,3,5451,55.0357732526142
2202703,15,27845,53.86963548213323
2202711,1,4899,20.412329046744233
2202729,2,6168,32.425421530479895
2202737,3,4032,74.4047619047619
2202778,3,7661,39.159378671191746
2202901,27,26709,101.08952038638661
2203107,1,10444,9.574875526618154
2203206,3,11426,26.255907579205324
2203305,5,13840,36.127167630057805
2203420,1,4354,22.967386311437757
2203503,6,14575,41.1663807890223
2203701,32,39848,80.30515960650472
2203909,315,60025,524.7813411078718
2204154,1,3200,31.25
2204204,1,9372,10.670081092616304
2204303,4,11659,34.308259713526034
2204352,2,5460,36.63003663003663
2204402,3,10694,28.053113895642415
2204659,2,9457,21.148355715343133
2204907,1,8566,11.67406023815083
2205201,2,19170,10.432968179447053
2205300,1,4447,22.4870699347875
2205409,6,14376,41.736227045075125
2205508,7,39336,17.79540370144397
2205557,2,8577,23.318176518596246
2205573,1,6777,14.755791648221928
2205581,1,4075,24.539877300613497
2205706,5,30438,16.42683487745581
2205805,24,25504,94.10288582183186
2205953,3,8543,35.116469624253774
2206050,4,6449,62.02512017367034
2206209,27,33833,79.80374190878729
2206357,1,6608,15.13317191283293
2206407,10,10564,94.66111321469141
2206605,1,10615,9.420631182289213
2206696,4,9209,43.43576935606472
2206704,1,7322,13.65747063643813
2206803,1,8723,11.463945890175399
2206902,2,6556,30.50640634533252
2207009,94,37085,253.47175407846836
2207702,494,153482,321.8618469918296
2207751,2,4323,46.26416840157298
2207801,2,20554,9.73046608932568
2207900,18,38778,46.41807210273867
2208007,382,78431,487.0523134984891
2208106,2,12139,16.475821731608864
2208304,7,28874,24.243263835977004
2208403,211,63787,330.78840516092623
2208502,3,12608,23.794416243654823
2208650,3,9017,33.27048907618942
2208700,3,8796,34.106412005457024
2208809,8,17979,44.49635686078202
2208874,1,4488,22.281639928698752
2209005,1,6433,15.5448468832582
2209104,5,6247,80.03841844085161
2209203,5,6254,79.94883274704189
2209302,1,5882,17.001020061203672
2209351,2,4642,43.084877208099954
2209500,2,3803,52.590060478569555
2209955,2,4848,41.254125412541256
2210003,17,20662,82.276643112961
2210052,1,5354,18.67762420620097
2210383,2,2454,81.49959250203749
2210391,2,3038,65.83278472679395
2210409,4,17639,22.677022506944837
2210508,6,14324,41.887740854509914
2210607,96,34877,275.25303208418154
2210706,6,14649,40.958427196395654
2210805,7,12746,54.9191903342225
2210904,1,4563,21.91540653079115
2210938,2,6767,29.555194325402688
2211001,3168,868075,364.945425222475
2211100,7,44569,15.705983979896342
2211209,18,21655,83.12168090510275
2211308,7,20929,33.446414066606145
2300150,4,15036,26.602819898909285
2300200,47,63104,74.48022312373224
2300309,60,54481,110.1301371120207
2300408,1,17493,5.716572343223003
2300507,3,11781,25.464731347084285
2300606,5,7650,65.359477124183
2300705,7,17196,40.70714119562689
2300754,15,43829,34.22391567227179
2300804,4,7378,54.21523448088912
2300903,17,14672,115.8669574700109
2301000,48,80935,59.306851176870325
2301109,64,74975,85.3617872624208
2301208,8,26535,30.14885999623139
2301307,5,21654,23.09042209291586
2301406,2,11802,16.94628029147602
2301505,1,7844,12.748597654258033
2301604,7,23478,29.81514609421586
2301703,5,24610,20.316944331572532
2301802,2,6303,31.730921783277807
2301851,3,18256,16.43295354951797
2301901,257,61228,419.74260142418507
2301950,11,22573,48.73078456563151
2302008,4,22758,17.576236927673783
2302057,17,15044,113.00186120712576
2302107,12,35941,33.38805264182967
2302206,28,53949,51.90086933956144
2302305,14,32722,42.78467086363914
2302404,24,54577,43.97456804148268
2302503,96,49842,192.60864331286865
2302602,67,63907,104.83984540034737
2302701,5,27470,18.20167455405897
2302800,98,77244,126.87069545854693
2302909,9,17786,50.60159676149781
2303006,4,22782,17.557721007813186
2303105,5,18459,27.087057803781352
2303204,10,26987,37.05487827472487
2303303,6,18699,32.08727739451307
2303402,7,17685,39.58156629912355
2303501,82,72232,113.52309225827887
2303600,3,20871,14.374011786689664
2303659,2,10376,19.275250578257516
2303709,429,365212,117.46601973648181
2303808,14,25585,54.719562243502054
2303907,13,13091,99.30486593843098
2303931,3,13565,22.115739034279397
2303956,9,20274,44.39183190292986
2304004,2,23239,8.606222298721976
2304103,263,75159,349.9248260354715
2304202,149,133031,112.00396899970684
2304236,4,18133,22.059229029945403
2304251,13,24977,52.047884053329064
2304269,2,9662,20.6996481059822
2304277,11,7225,152.2491349480969
2304285,55,54337,101.22016305648086
2304301,18,19389,92.83614420547734
2304350,3,24452,12.268935056437101
2304400,11431,2686612,425.48012143175123
2304459,2,16631,12.02573507305634
2304509,8,14134,56.60110372152258
2304608,5,7694,64.98570314530804
2304707,15,54962,27.29158327571777
2304905,2,11144,17.946877243359655
2304954,12,26290,45.64473183720045
2305001,20,40784,49.038838760298155
2305209,3,20053,14.960355059093404
2305233,45,68529,65.66563060893928
2305266,6,13369,44.879946144064625
2305308,8,25082,31.895383143290008
2305332,3,12629,23.75484994853116
2305357,4,20060,19.940179461615152
2305407,151,68162,221.53105836096358
2305506,295,103074,286.20214603100686
2305605,16,26187,61.09901859701379
2305704,1,12485,8.009611533840609
2305803,32,42058,76.08540586808692
2305902,18,38114,47.22674083014116
2306009,5,14326,34.901577551305316
2306108,9,24305,37.029417815264345
2306207,6,7866,76.27765064836004
2306256,28,38325,73.05936073059361
2306306,61,53067,114.94902670209358
2306405,250,130539,191.51364726250392
2306504,3,20520,14.619883040935672
2306553,18,42215,42.63887243870662
2306603,11,21836,50.375526653233194
2306702,10,18147,55.10552708436656
2306801,1,11492,8.70170553428472
2306900,28,34636,80.84074373484236
2307007,34,33834,100.49063072648816
2307106,12,27181,44.14848607483168
2307205,1,8130,12.300123001230011
2307254,1,20087,4.9783442027181755
2307304,1073,276264,388.39660614484694
2307403,18,24892,72.31238952273823
2307502,17,31492,53.98196367331385
2307601,124,59890,207.04625146101188
2307635,19,19864,95.65042287555377
2307650,398,229458,173.45222219316824
2307700,130,130346,99.73455265217191
2307809,13,27595,47.10998369269795
2307908,6,11321,52.99885169154668
2308005,42,39044,107.57094559983608
2308104,34,48168,70.58628134861318
2308203,9,15185,59.26901547579848
2308302,12,27462,43.69674459252786
2308351,7,13142,53.2643433267387
2308401,12,35480,33.82187147688839
2308500,30,43858,68.40257193670483
2308609,12,17249,69.56925039132703
2308708,42,61738,68.02941462308465
2309003,10,14549,68.73324627122139
2309102,5,10941,45.69966182250251
2309201,2,15684,12.751849018107626
2309300,13,32408,40.11355220933103
2309409,8,28673,27.9008126111673
2309458,8,25833,30.968141524406768
2309508,21,21384,98.20426487093155
2309607,27,73188,36.89129365469749
2309706,104,84554,122.99832059985336
2309805,3,12288,24.4140625
2309904,2,6549,30.539013589861046
2310001,4,9422,42.45383145828911
2310100,2,13439,14.882059677059305
2310209,36,35304,101.97144799456153
2310258,26,32992,78.80698351115421
2310308,13,31455,41.32888253059927
2310506,26,43309,60.03371123784895
2310605,1,9143,10.937329104232747
2310704,43,37900,113.45646437994723
2310803,5,16331,30.6166187006307
2310852,8,20769,38.518946506813045
2310902,11,17086,64.38019431113193
2311009,3,12347,24.297400178180933
2311108,2,14958,13.370771493515177
2311207,3,11106,27.01242571582928
2311231,2,6437,31.070374398011495
2311264,5,21166,23.622791269016346
2311306,70,88321,79.25634899967166
2311355,2,16147,12.386201771226853
2311405,533,81778,651.764533248551
2311504,8,22293,35.885704032655994
2311603,22,29146,75.48205585672133
2311702,7,18385,38.07451726951319
2311801,60,78882,76.06298014756219
2311900,8,15788,50.67139599695972
2311959,12,16635,72.1370604147881
2312007,7,32654,21.436883689593923
2312106,6,17712,33.87533875338753
2312205,2,43711,4.575507309372927
2312304,42,48131,87.26184787351187
2312403,55,48869,112.54578567189833
2312502,1,7601,13.156163662675965
2312601,12,13044,91.99632014719411
2312700,19,25456,74.63859208045254
2312809,1,7691,13.00221037576388
2312908,1749,210711,830.0468414083745
2313005,8,18357,43.58010568175628
2313104,12,30807,38.95218619145
2313203,6,26225,22.8789323164919
2313252,1,8573,11.664528169835531
2313302,167,59062,282.75371643357823
2313351,26,19371,134.22125858241702
2313401,178,76537,232.56725505311155
2313500,25,56291,44.412072977918314
2313559,6,16431,36.51634106262553
2313609,19,35047,54.212914086797724
2313708,2,7736,25.853154084798348
2313757,17,19903,85.41425915691102
2313807,17,22040,77.13248638838476
2313906,3,13915,21.559468199784405
2313955,6,18471,32.4833522819555
2314003,21,40903,51.340977434418015
2314102,53,61410,86.3051620257287
2400109,1,11121,8.991997122560921
2400208,50,58384,85.63990134283365
2400307,10,11029,90.67005168192946
2400505,4,13553,29.51376079096879
2400703,10,14728,67.89788158609451
2400802,2,11705,17.086715079026057
2400901,2,7154,27.95638803466592
2401008,50,35874,139.3767073646652
2401107,19,27967,67.93721171380555
2401206,4,14417,27.74502323645696
2401404,2,9322,21.454623471358076
2401453,6,28747,20.871743138414445
2401701,3,10267,29.219830524982957
2401859,4,6561,60.966316110349034
2402006,314,68343,459.44720015217365
2402105,4,11291,35.426445841820914
2402204,7,34548,20.26166492995253
2402303,5,20541,24.34156078087727
2402402,2,8239,24.274790629930816
2402501,5,10867,46.010858562620776
2402600,64,73886,86.61992799718486
