cod_municipio,parede_total,familias_cadastradas,parede_porcentagem
353360,2652,2664.0,0.9954954954954955
521523,55399,55652.0,0.9954538920434126
260330,8751,8791.0,0.9954498919349335
220280,7166,7199.0,0.9954160300041672
411590,1726,1734.0,0.9953863898500577
280500,3883,3901.0,0.9953857985132017
315770,4521,4542.0,0.9953764861294584
350110,1932,1941.0,0.9953632148377125
420257,644,647.0,0.9953632148377125
250270,4274,4294.0,0.9953423381462506
313320,7471,7506.0,0.9953370636823874
410610,2560,2572.0,0.995334370139969
411550,2555,2567.0,0.9953252824308532
240050,12533,12592.0,0.9953144853875476
354105,4673,4695.0,0.9953141640042599
431849,1273,1279.0,0.9953088350273651
293200,35392,35559.0,0.9953035799656909
280510,13349,13412.0,0.9953027139874739
231080,13830,13896.0,0.9952504317789291
240310,31199,31348.0,0.9952469057037131
353450,1465,1472.0,0.9952445652173914
260190,81051,81439.0,0.995235697884306
220157,3959,3978.0,0.9952237305178482
317090,17436,17520.0,0.9952054794520548
250290,6824,6857.0,0.9951873997374945
240940,26812,26942.0,0.9951748199836686
260845,17098,17181.0,0.9951690821256038
220209,5561,5588.0,0.9951682176091625
220735,3699,3717.0,0.9951573849878934
170555,4924,4948.0,0.9951495553759094
353286,611,614.0,0.995114006514658
421505,1215,1221.0,0.995085995085995
350730,2430,2442.0,0.995085995085995
411720,3832,3851.0,0.9950662165671255
290687,30784,30937.0,0.9950544655267156
431235,602,605.0,0.9950413223140496
312210,5415,5442.0,0.9950385887541345
350480,3600,3618.0,0.9950248756218906
520547,5189,5215.0,0.9950143815915627
411721,3589,3607.0,0.9950097033545883
260400,84095,84517.0,0.9950069216843949
410345,10115,10166.0,0.9949832775919732
250400,274488,275876.0,0.9949687540779191
261247,11283,11341.0,0.9948858125385769
240520,5826,5856.0,0.9948770491803278
320405,20361,20466.0,0.9948695397244209
330245,6588,6622.0,0.9948655995167623
432377,581,584.0,0.9948630136986302
241340,6365,6398.0,0.9948421381681776
315725,8435,8479.0,0.9948107088100012
351519,2298,2310.0,0.9948051948051948
500840,5361,5389.0,0.9948042308406012
290010,11660,11721.0,0.9947956658988141
420180,571,574.0,0.9947735191637631
354180,1711,1720.0,0.9947674418604651
431848,569,572.0,0.9947552447552448
240730,8129,8172.0,0.9947381302006852
130395,9228,9277.0,0.9947181200819231
521900,5082,5109.0,0.9947152084556665
410750,7337,7376.0,0.9947125813449024
250240,11284,11344.0,0.9947108603667136
411510,8458,8503.0,0.9947077502058097
313360,6386,6420.0,0.9947040498442368
292610,16893,16983.0,0.994700582935877
291340,15295,15377.0,0.99466736034337
261250,114958,115580.0,0.9946184460979408
311170,3496,3515.0,0.9945945945945946
240920,3856,3877.0,0.9945834408047459
251320,6045,6078.0,0.9945705824284304
240180,10990,11050.0,0.9945701357466064
240090,8417,8463.0,0.9945645752097365
220720,8215,8260.0,0.9945520581113801
110155,3101,3118.0,0.9945477870429763
314240,4007,4029.0,0.9945395879870935
320440,5782,5814.0,0.9944960440316477
261245,14231,14310.0,0.9944793850454228
330150,10606,10665.0,0.9944678856071261
312280,1615,1624.0,0.9944581280788177
353950,13570,13646.0,0.9944306023743221
240210,12765,12837.0,0.9943912129002104
412320,2652,2667.0,0.9943757030371203
354810,2118,2130.0,0.9943661971830986
280270,8997,9048.0,0.9943633952254642
355310,3523,3543.0,0.9943550663279707
355300,5458,5489.0,0.9943523410457278
260080,25835,25982.0,0.9943422369332615
310530,3162,3180.0,0.9943396226415094
500625,2101,2113.0,0.9943208707998107
411240,5761,5794.0,0.9943044528822921
432032,1222,1229.0,0.9943043124491456
351930,17432,17532.0,0.9942961441934748
315950,4702,4729.0,0.9942905476844999
251520,3629,3650.0,0.9942465753424657
430632,1551,1560.0,0.9942307692307693
250670,8778,8829.0,0.9942235813795447
312600,5159,5189.0,0.9942185392175756
291875,10315,10375.0,0.9942168674698795
251540,10825,10888.0,0.9942138133725202
250407,5669,5702.0,0.9942125569975447
220820,22083,22212.0,0.9941923284710967
354830,2054,2066.0,0.9941916747337851
291030,9229,9283.0,0.9941829150059248
520355,7158,7200.0,0.9941666666666666
260830,15994,16088.0,0.9941571357533565
354050,4050,4074.0,0.9941089837997055
420455,8077,8125.0,0.9940923076923077
351400,4541,4568.0,0.9940893169877408
315330,2687,2703.0,0.9940806511283758
410660,13932,14016.0,0.9940068493150684
316750,1488,1497.0,0.9939879759519038
521540,2966,2984.0,0.9939678284182306
354400,6257,6295.0,0.9939634630659253
421125,1478,1487.0,0.9939475453934096
350470,978,984.0,0.9939024390243902
412040,2606,2622.0,0.9938977879481312
411605,5840,5876.0,0.9938733832539143
354625,1133,1140.0,0.993859649122807
220810,11150,11219.0,0.9938497192263125
231360,28883,29062.0,0.9938407542495354
220420,6605,6646.0,0.9938308757147156
317047,4180,4206.0,0.9938183547313362
410337,2889,2907.0,0.9938080495356038
240570,9917,9979.0,0.993786952600461
251710,2876,2894.0,0.9937802349689012
292030,7656,7704.0,0.9937694704049844
350745,2368,2383.0,0.9937054133445237
330300,24915,25073.0,0.9936984006700434
251100,2835,2853.0,0.9936908517350158
290323,14005,14094.0,0.9936852561373635
411380,4241,4268.0,0.9936738519212746
251203,3608,3631.0,0.9936656568438447
320515,6894,6938.0,0.9936581147304698
280150,14554,14647.0,0.9936505769099474
241060,2966,2985.0,0.9936348408710218
261280,9675,9737.0,0.9936325356886104
316165,3277,3298.0,0.9936325045482111
314040,2332,2347.0,0.9936088623775032
230560,27940,28120.0,0.9935988620199147
320020,18573,18693.0,0.9935804846734072
313950,21135,21272.0,0.9935596088755171
240820,23124,23274.0,0.9935550399587523
350390,45679,45976.0,0.9935401078823735
412382,1842,1854.0,0.9935275080906149
313570,3677,3701.0,0.9935152661442853
292800,44744,45038.0,0.9934721790488033
316670,5930,5969.0,0.9934662422516335
521205,2276,2291.0,0.9934526407682235
250820,7717,7768.0,0.9934346035015448
230910,12675,12759.0,0.9934164119445098
251390,28900,29093.0,0.9933661018114323
320290,4926,4959.0,0.9933454325468845
411155,4030,4057.0,0.9933448360857776
314490,3879,3905.0,0.9933418693982075
353370,2234,2249.0,0.9933303690529124
130390,26785,26966.0,0.9932878439516428
251600,23063,23219.0,0.9932813643998449
316255,10740,10813.0,0.9932488671044114
170730,3950,3977.0,0.9932109630374655
240890,19745,19880.0,0.9932092555331992
521410,3508,3532.0,0.9932049830124575
261030,15196,15300.0,0.993202614379085
240325,139253,140207.0,0.993195774818661
410275,2180,2195.0,0.9931662870159453
411810,5668,5707.0,0.9931662870159453
355715,1739,1751.0,0.9931467732724157
351495,869,875.0,0.9931428571428571
251380,5642,5681.0,0.9931350114416476
353750,3471,3495.0,0.9931330472103004
291170,81825,82391.0,0.9931303176317802
311995,3468,3492.0,0.993127147766323
410060,7646,7699.0,0.9931159890894922
521890,12835,12924.0,0.9931135871247292
250170,6755,6802.0,0.9930902675683623
310190,9893,9962.0,0.9930736799839389
260010,38118,38384.0,0.9930700291788245
261600,23321,23484.0,0.9930591040708567
351015,3844,3871.0,0.9930250581245156
352965,853,859.0,0.9930151338766007
260810,24969,25145.0,0.9930005965400676
220793,3541,3566.0,0.99298934380258
352700,3110,3132.0,0.9929757343550447
311320,11562,11644.0,0.9929577464788732
354010,1266,1275.0,0.9929411764705882
241335,13348,13443.0,0.9929331250464926
310330,1824,1837.0,0.9929232444202504
510285,3927,3955.0,0.9929203539823008
110140,9092,9157.0,0.9929016053292563
313350,11049,11128.0,0.9929007907979871
521090,11729,11813.0,0.9928891898755609
314120,2501,2519.0,0.9928543072647876
350620,1528,1539.0,0.9928525016244314
310310,1250,1259.0,0.9928514694201748
280010,2082,2097.0,0.9928469241773963
412135,2078,2093.0,0.9928332537028189
315070,3321,3345.0,0.9928251121076234
261440,4980,5016.0,0.992822966507177
420360,11332,11414.0,0.9928158401962502
290840,67446,67936.0,0.9927873292510598
312730,5778,5820.0,0.9927835051546392
350560,18243,18376.0,0.9927622986504135
320115,8209,8269.0,0.9927439835530294
220070,8440,8502.0,0.9927075982121853
312400,11382,11466.0,0.9926739926739927
231100,10562,10640.0,0.9926691729323308
351030,12150,12240.0,0.9926470588235294
314587,8369,8431.0,0.9926461866919701
311800,18874,19014.0,0.9926370043126118
520545,5522,5563.0,0.9926298759662053
312630,1211,1220.0,0.9926229508196721
315480,5642,5684.0,0.9926108374384236
312760,6713,6763.0,0.99260683128789
261590,10469,10547.0,0.9926045320944344
293150,18649,18788.0,0.9926016606344475
431265,5632,5674.0,0.9925978145928798
351530,1337,1347.0,0.9925760950259837
315610,3608,3635.0,0.9925722145804676
355535,1998,2013.0,0.992548435171386
500740,17405,17536.0,0.9925296532846716
430330,2383,2401.0,0.9925031236984589
420535,793,799.0,0.9924906132665833
250070,14499,14609.0,0.9924703949620097
350370,2758,2779.0,0.9924433249370277
290920,19174,19320.0,0.9924430641821946
431510,6299,6347.0,0.9924373719867654
521440,5505,5547.0,0.9924283396430503
354085,1570,1582.0,0.9924146649810367
411530,3394,3420.0,0.9923976608187135
313090,20475,20632.0,0.9923904614191547
280100,16032,16155.0,0.9923862581244197
314540,1560,1572.0,0.9923664122137404
292380,25077,25270.0,0.9923624851602691
220510,9728,9803.0,0.9923492808323983
411695,2330,2348.0,0.9923339011925043
315737,4256,4289.0,0.9923058988109116
261240,24034,24221.0,0.9922794269435614
316180,5897,5943.0,0.9922598014470806
290405,16255,16382.0,0.9922475888169943
410685,1919,1934.0,0.9922440537745605
130255,18420,18564.0,0.9922430510665805
313940,37670,37965.0,0.992229685236402
350230,4337,4371.0,0.9922214596202242
230620,7510,7569.0,0.9922050469018364
171610,21748,21919.0,0.9921985492038871
351920,3432,3459.0,0.9921942758022549
320310,7856,7918.0,0.9921697398332913
250970,33575,33840.0,0.9921690307328606
351190,3784,3814.0,0.9921342422653382
411800,4280,4314.0,0.9921186833565137
350140,2643,2664.0,0.9921171171171171
251510,9398,9473.0,0.9920827615327774
280350,120988,121954.0,0.9920789805992424
521030,2999,3023.0,0.9920608666887198
316220,2624,2645.0,0.9920604914933837
352090,5991,6039.0,0.9920516641828118
315733,5611,5656.0,0.992043847241867
351810,4338,4373.0,0.9919963411845415
311535,3344,3371.0,0.9919905072678731
420760,1481,1493.0,0.9919624916275954
412540,3823,3854.0,0.9919564089257914
320010,17733,17877.0,0.9919449572075851
251040,6627,6681.0,0.9919173776380781
320360,5139,5181.0,0.9918934568616097
250100,12301,12402.0,0.9918561522335108
310600,5229,5272.0,0.9918437025796661
240630,8370,8439.0,0.9918236757909705
350080,2543,2564.0,0.9918096723868954
520130,14621,14742.0,0.9917921584588252
351610,2527,2548.0,0.9917582417582418
354740,1203,1213.0,0.9917559769167353
510345,5048,5090.0,0.9917485265225933
220500,11896,11995.0,0.9917465610671113
355550,2516,2537.0,0.991722506897911
241050,5134,5177.0,0.9916940312922542
521290,2145,2163.0,0.9916782246879334
521570,15836,15969.0,0.9916713632663285
221020,5356,5401.0,0.9916682095908165
292730,20705,20879.0,0.991666267541549
261320,22593,22783.0,0.9916604485800816
280680,10668,10758.0,0.9916341327384273
280600,15764,15897.0,0.9916336415675914
311970,1418,1430.0,0.9916083916083916
311550,10967,11060.0,0.9915913200723327
230125,11199,11294.0,0.9915884540463963
312370,7780,7846.0,0.9915880703543207
510665,6357,6411.0,0.9915769770706598
250350,13724,13841.0,0.991546853551044
354090,6684,6741.0,0.9915442812639075
500793,7948,8016.0,0.9915169660678643
351385,1401,1413.0,0.9915074309978769
351565,1050,1059.0,0.9915014164305949
240200,48118,48531.0,0.9914899754795904
280550,24906,25120.0,0.9914808917197452
311820,3723,3755.0,0.9914780292942743
311205,3372,3401.0,0.9914730961481917
315290,4522,4561.0,0.9914492435869326
313980,5555,5603.0,0.9914331608067107
261630,22095,22286.0,0.991429597056448
431043,1383,1395.0,0.9913978494623656
330513,5409,5456.0,0.9913856304985337
280410,10355,10445.0,0.9913834370512207
261550,13980,14102.0,0.9913487448588852
314210,7217,7280.0,0.9913461538461539
230150,5837,5888.0,0.9913383152173914
351490,8812,8889.0,0.9913376082798965
430640,4116,4152.0,0.9913294797687862
351160,5373,5420.0,0.9913284132841328
251690,11773,11876.0,0.9913270461434827
220690,5593,5642.0,0.9913151364764268
350580,8547,8622.0,0.9913013221990258
314795,5468,5516.0,0.9912980420594634
312070,3299,3328.0,0.9912860576923077
230465,15241,15375.0,0.9912845528455284
292310,25816,26044.0,0.9912455843956381
411722,3504,3535.0,0.9912305516265912
221030,6209,6264.0,0.9912196679438059
241090,7439,7505.0,0.9912058627581612
270140,31551,31831.0,0.9912035437152461
251550,16219,16363.0,0.9911996577644686
354460,3041,3068.0,0.991199478487614
230140,12902,13017.0,0.9911653990934931
315340,10297,10389.0,0.9911444797381846
354930,1343,1355.0,0.9911439114391144
241260,17785,17944.0,0.9911390994204191
220025,8262,8336.0,0.9911228406909789
520455,3011,3038.0,0.9911125740618828
231395,15924,16067.0,0.9910997697143212
290680,40713,41079.0,0.991090338128971
320335,6999,7062.0,0.9910790144435004
280360,20753,20940.0,0.9910697230181471
330187,24483,24704.0,0.9910540803108808
354730,44191,44590.0,0.9910518053375196
290210,53787,54273.0,0.9910452711292909
291220,18350,18516.0,0.9910347807301793
221080,13130,13249.0,0.9910181900520794
353960,2866,2892.0,0.9910096818810512
315400,15452,15593.0,0.9909574809209261
320495,5252,5300.0,0.9909433962264151
315930,4264,4303.0,0.9909365558912386
240150,3822,3857.0,0.9909255898366606
241100,4145,4183.0,0.9909156108056418
354310,3054,3082.0,0.990914990266061
310960,2614,2638.0,0.9909021986353298
220950,4895,4940.0,0.9908906882591093
431810,12177,12289.0,0.9908861583529986
330015,6845,6908.0,0.9908801389693109
250190,15523,15666.0,0.9908719519979574
320370,10949,11050.0,0.9908597285067874
351980,4119,4157.0,0.9908587923983642
290960,22296,22502.0,0.9908452581992712
355465,1623,1638.0,0.9908424908424909
315460,178106,179753.0,0.9908374269135981
110120,4865,4910.0,0.9908350305498982
430245,2804,2830.0,0.9908127208480565
315550,6759,6822.0,0.9907651715039578
315080,12220,12334.0,0.9907572563645208
520690,1281,1293.0,0.9907192575406032
311787,2879,2906.0,0.9907088781830695
520810,4471,4513.0,0.9906935519610015
313550,7764,7837.0,0.9906852111777465
431300,1063,1073.0,0.9906803355079217
280380,3822,3858.0,0.9906687402799378
354690,2013,2032.0,0.9906496062992126
250040,17152,17314.0,0.99064340995726
251450,16935,17095.0,0.9906405381690553
314170,3485,3518.0,0.9906196702671972
352780,2428,2451.0,0.9906160750713995
320332,32806,33117.0,0.9906090527523629
411600,1264,1276.0,0.9905956112852664
315160,7370,7440.0,0.9905913978494624
350300,2733,2759.0,0.990576295759333
241170,4730,4775.0,0.9905759162303664
522130,1996,2015.0,0.9905707196029777
250610,10283,10381.0,0.9905596763317599
350360,4615,4659.0,0.9905559132861129
251275,5762,5817.0,0.9905449544438714
420757,419,423.0,0.9905437352245863
522045,78926,79681.0,0.9905247173102747
320305,20480,20676.0,0.9905204101373574
260410,309566,312541.0,0.9904812488601495
330430,48212,48676.0,0.9904675815597008
314950,2490,2514.0,0.9904534606205251
350940,10774,10878.0,0.9904394190108475
290110,20700,20900.0,0.9904306220095693
230530,19861,20053.0,0.9904253727621802
260110,79150,79918.0,0.9903901499036513
431301,926,935.0,0.9903743315508021
292470,10125,10224.0,0.9903169014084507
330185,51694,52200.0,0.9903065134099617
312350,919,928.0,0.990301724137931
410740,3059,3089.0,0.9902881191324053
352540,2141,2162.0,0.990286771507863
