cod_municipio,assasinatos_jovens,pop_2021,assasinatos_jovens_100k
1100023,10,109523,9.130502268929813
1100049,5,85893,5.82119613938272
1100056,1,16204,6.171315724512466
1100064,1,15544,6.433350488934638
1100080,2,18798,10.639429726566656
1100098,3,32695,9.175714941122497
1100114,1,51620,1.9372336303758233
1100122,6,130009,4.615065110876939
1100130,4,40867,9.787848386228497
1100155,4,35737,11.192881327475725
1100189,4,36881,10.845692904205418
1100205,64,539354,11.866047160121182
1100254,2,18571,10.769479295676055
1100288,5,55407,9.024130525023914
1100304,16,102211,15.653892438191583
1100320,1,23077,4.333318888937037
1100452,2,40356,4.95589255624938
1100502,1,8329,12.006243246488173
1100809,2,27388,7.302468234263181
1100940,1,26183,3.81927204674789
1101005,2,7445,26.863666890530556
1101302,1,10818,9.243852837862821
1101484,1,5066,19.739439399921043
1101559,1,4233,23.623907394283016
1101609,2,10395,19.24001924001924
1200013,2,15490,12.911555842479018
1200104,3,26702,11.235113474646093
1200179,2,12008,16.655562958027982
1200203,11,89072,12.34955990659242
1200252,8,18696,42.78990158322636
1200302,4,34884,11.466574934067195
1200336,1,19311,5.178395733001916
1200344,2,9581,20.874647740319382
1200385,1,19955,5.011275369581559
1200401,147,413418,35.557232631380344
1200427,2,19351,10.335383184331558
1200450,1,23236,4.30366672404889
1200500,2,46511,4.300058050783686
1200609,5,43151,11.58721698222521
1200807,2,18824,10.62473438164046
1300029,2,16220,12.330456226880395
1300060,1,11736,8.520790729379687
1300102,2,21477,9.31228756343996
1300144,5,22359,22.362359676193034
1300300,3,40290,7.4460163812360385
1300409,2,27638,7.236413633403285
1300508,5,32483,15.392666933472894
1300607,3,43935,6.828269033799931
1300631,1,20093,4.976857612103718
1300680,3,19626,15.285845307245491
1300706,8,34635,23.098022231846397
1300805,3,41748,7.185972980741592
1301001,3,28508,10.523361863336607
1301100,3,38348,7.823093772817357
1301159,4,30846,12.967645723918823
1301209,41,85910,47.72436270515656
1301308,2,29168,6.856829402084476
1301407,11,35700,30.81232492997199
1301506,9,20393,44.132790663462956
1301605,2,17005,11.761246692149367
1301852,8,49011,16.322866295321457
1301902,12,102701,11.68440424143874
1301951,3,7814,38.39262861530586
1302207,3,15106,19.85965841387528
1302306,2,13886,14.402995823131212
1302405,11,46882,23.46316283435007
1302504,8,98502,8.121662504314633
1302603,470,2219580,21.175177285792806
1302702,5,56583,8.8365763568563
1302900,11,65040,16.912669126691267
1303106,10,38026,26.297796244674696
1303205,3,19928,15.054195102368526
1303304,1,26046,3.8393611303079167
1303403,8,115363,6.934632421140227
1303502,4,19522,20.4897039237783
1303536,6,37193,16.13206786223214
1303809,9,46303,19.437185495540245
1303908,1,40073,2.4954458113942057
1304062,37,67182,55.0742758476973
1304104,2,17015,11.754334410813987
1304203,12,59547,20.152148722857575
1304260,2,13690,14.609203798392988
1304302,1,16130,6.199628022318661
1304401,1,23585,4.239983040067839
1400027,4,13185,30.337504740235115
1400050,17,15380,110.5331599479844
1400100,75,419652,17.871951045151697
1400159,1,12557,7.963685593692761
1400175,5,18799,26.597159423373583
1400209,29,22283,130.14405600682133
1400233,2,10383,19.262255610131948
1400308,6,18172,33.01782962799912
1400456,3,18913,15.862105430127425
1400472,6,30782,19.491910856994348
1500107,19,159080,11.943676137792306
1500131,1,7486,13.35826876836762
1500206,13,55669,23.352314573640626
1500305,1,39567,2.527358657467081
1500347,2,27615,7.242440702516748
1500404,2,57092,3.5031177748195894
1500503,5,34076,14.673083695269398
1500602,60,115969,51.73796445601842
1500800,124,535547,23.153896856858502
1500859,9,28607,31.460831265074983
1500909,1,46471,2.1518796668890277
1500958,10,31773,31.473263462688447
1501105,4,31325,12.769353551476456
1501204,8,48459,16.508801254668896
1501253,2,3262,61.31207847946045
1501303,33,127027,25.978728931644454
1501402,176,1499641,11.736142183362551
1501451,2,17839,11.211390773025395
1501501,3,63768,4.704554008280015
1501576,2,17118,11.68360789811894
1501600,2,16530,12.099213551119178
1501709,23,128914,17.841351598740246
1501725,2,14983,13.348461589801776
1501758,2,7368,27.14440825190011
1501782,7,67332,10.396245470207331
1501808,24,103497,23.18907794428824
1501907,15,29427,50.973595677439086
1501956,3,34609,8.668265480077437
1502103,19,139364,13.633362991877386
1502152,13,38103,34.118048447628794
1502202,17,69431,24.48474024571157
1502301,17,54425,31.23564538355535
1502400,51,203251,25.092127468007536
1502608,2,12131,16.4866870002473
1502707,3,47991,6.251172094767769
1502756,8,33781,23.681951392794765
1502764,1,13761,7.266913741733886
1502772,12,17846,67.24195898240502
1502806,1,34994,2.8576327370406354
1502905,12,40584,29.56830277942046
1502939,7,60469,11.576179530007112
1502954,8,33940,23.57100766057749
1503044,14,20525,68.2095006090134
1503077,3,26111,11.489410593236567
1503200,5,39023,12.812956461573943
1503309,17,63036,26.968716289104638
1503457,6,65625,9.142857142857142
1503507,4,32595,12.27182083141586
1503606,29,101395,28.6010158291829
1503705,7,53355,13.119670134008059
1503754,6,7590,79.05138339920948
1503804,5,59842,8.355335717389124
