cod_municipio,obitos_acidentes,pop_2021,obitos_acidentes_100k
2922102,1,26970,3.7078235076010384
2922508,1,28594,3.497237182625726
2924801,5,24964,20.0288415318058
2925956,2,22633,8.83665444262802
2926301,1,33468,2.9879287677781763
2926608,2,53956,3.7067239973311588
2928802,2,53269,3.7545289004862115
2929370,3,10505,28.557829604950022
2930105,1,79424,1.2590652699435938
2930402,2,14699,13.606367780121097
2930600,2,13446,14.874312063067084
2931103,2,7928,25.22704339051463
2931400,1,7359,13.588802826470987
2932200,5,18847,26.529421128030986
2932309,4,27263,14.671899644206434
2932457,2,19402,10.308215647871354
2932507,2,18544,10.785159620362382
2932705,7,20413,34.29187282614021
2933208,3,43716,6.8624759813340654
3100401,2,3994,50.0751126690035
3104007,1,107337,0.9316451922449854
3106002,1,10262,9.744689144416293
3108602,1,32405,3.0859435272334514
3115359,1,5421,18.446781036709094
3121902,2,3424,58.41121495327103
3122900,1,6619,15.108022359873093
3125408,2,4704,42.51700680272109
3126703,2,26369,7.5846638097766315
3127701,2,281046,0.711627278096824
3128006,2,34573,5.784861018714025
3129103,1,5577,17.930787161556392
3131307,8,265409,3.014215795244321
3132503,2,34936,5.72475383558507
3134202,2,105255,1.9001472614127595
3134905,1,26264,3.807493146512336
3135100,7,72018,9.719792274153685
3135209,2,67852,2.947591817485115
3135605,2,7468,26.78093197643278
3136306,4,47726,8.38117587897582
3136702,3,573285,0.5232999293545095
3139409,1,91169,1.0968640656363458
3139607,2,27647,7.234057944804138
3140001,5,61288,8.158203889831615
3142254,1,4914,20.35002035002035
3143104,5,47931,10.431662181051928
3151206,3,56640,5.296610169491525
3151800,3,168641,1.7789268327393695
3154309,1,17396,5.748447919061853
3154903,1,13473,7.422251911229867
3156304,1,8224,12.15953307392996
3159803,2,19872,10.064412238325282
3162401,2,25098,7.96876245119133
3165701,2,7858,25.451768897938408
3167905,1,3708,26.968716289104638
3168408,1,14302,6.9920290868410016
3170008,2,12599,15.874275736169537
3171303,4,79388,5.0385448682420515
3205002,2,527240,0.3793338896897049
3300803,1,59303,1.6862553327824898
3301306,2,45041,4.440398747807553
3304409,3,18605,16.124697661918837
3304557,1,6747815,0.014819611978099577
3305802,2,184240,1.0855405992184108
3306008,1,82142,1.2174040076939934
3501608,1,242018,0.4131924071763257
3504503,1,91232,1.0961066292528938
3509205,1,77934,1.2831370133702877
3513207,1,8718,11.470520761642579
3515707,1,196500,0.5089058524173028
3516200,3,355901,0.842931039811633
3520103,1,30614,3.2664793885150583
3531001,1,2267,44.11116012351125
3536703,1,47111,2.1226465156757444
3537008,2,16811,11.896972220569864
3538006,2,170132,1.1755578021771331
3540705,2,56504,3.539572419651706
3543907,1,208008,0.4807507403561401
3544905,2,11998,16.669444907484582
3549409,1,52319,1.9113515166574284
3549904,1,729737,0.13703567175571474
3550308,1,12325232,0.008113437540161516
3550704,1,90328,1.1070764325569038
3552106,1,41352,2.4182627200619073
3552403,1,286211,0.3493925809979351
3554102,2,317915,0.6290989729959265
3557105,9,95338,9.440097337892551
4113700,0,575377,0.0
4128104,8,112500,7.111111111111111
4204202,2,224013,0.892805328262199
4305108,2,517451,0.3865100270363764
4314407,2,343132,0.5828660690346572
4314902,2,1488252,0.13438584325772787
4315602,1,211965,0.4717760007548416
5003207,2,112058,1.7847900194542112
5100201,7,26204,26.71347885818959
5101803,4,61135,6.542896867588125
5101852,3,6706,44.736057262153295
5102603,2,16919,11.821029611679178
5103205,1,33649,2.971856518767274
5103502,2,22178,9.017945711966814
5103601,2,8159,24.512807942149774
5105259,1,67620,1.4788524105294292
5105580,2,10301,19.415590719347637
5105903,4,15334,26.08582235554976
5106174,1,3932,25.4323499491353
5106216,1,12831,7.793624814901411
5106372,4,17446,22.927891780350798
5106752,1,45774,2.184646305763097
5107065,5,17937,27.875341472933044
5107305,6,21011,28.556470420256055
5107958,1,105711,0.9459753478824342
5209705,2,22124,9.03995660820828
5213087,3,28793,10.41919911089501
5218003,2,45633,4.382793154077094
