cod_municipio,emissoes_2019,pop_2021,emissoes_per_capita
1500602,35247299.6916256,115969.0,303.9372564359924
1507300,28894968.4437329,132138.0,218.67266375859253
1100205,23303221.2079454,539354.0,43.20580028690878
1302405,23218077.7571438,46882.0,495.245035560424
3550308,16589113.7193895,12325232.0,1.345947380089032
1505486,16180603.8538951,48414.0,334.2133237058516
1505031,14934729.8635085,25766.0,579.6293512189901
3304557,13796138.2521604,6747815.0,2.0445341569323405
5103254,13463102.099959,39861.0,337.7512380512029
1300144,12495892.9692759,22359.0,558.8753061083188
1505064,11919144.1419654,77214.0,154.36506516908074
1503606,11716480.9443727,101395.0,115.5528472249391
5105507,10816447.702619,16271.0,664.7684655287935
3205002,10179486.7541716,527240.0,19.30712152752371
1303304,9914520.18490217,26046.0,380.65423423566654
1505809,9873782.38504011,62945.0,156.86364897990484
5101407,9782512.05126287,22714.0,430.6820485719323
1507805,9670093.46847219,11480.0,842.3426366264974
1302603,9332738.06112325,2219580.0,4.204731553322363
1500859,8511720.76425707,28607.0,297.5397897108075
1100338,8070862.22686924,31392.0,257.0993318956817
1400209,7815627.44670138,22283.0,350.7439503972257
5106158,7286708.38916624,15685.0,464.56540574856484
5105101,7243081.7144447,35121.0,206.23221760327723
5300108,7025585.5867589,3055149.0,2.2995885263726583
1504208,6910396.21600844,283542.0,24.371684674610602
1508159,6859463.63001164,45435.0,150.97311830112557
1300706,6839708.55992924,34635.0,197.4796754707446
1100809,6772705.72012509,27388.0,247.28734190613008
1400282,6604325.65200272,12296.0,537.1117153548081
2306009,80152.2323721136,14326.0,5.5948787080911355
5105580,6467096.71619492,10301.0,627.8125149203884
5108303,6455624.4715419,3490.0,1849.7491322469627
1506195,5828617.2677821,51500.0,113.17703432586602
1100940,5717837.49653859,26183.0,218.3797691837677
1503754,5681108.554583,7590.0,748.4991508014493
5105150,5404695.07444618,41101.0,131.49789723963357
1200302,5363416.57942266,34884.0,153.7500452764207
3171204,5275192.59493258,129765.0,40.65189068649158
3301702,5112751.3610179,924624.0,5.529546454578185
1505650,5041637.19049789,31659.0,159.248150304744
5106752,5001371.6071499,45774.0,109.26228005308472
1504455,4869713.55767649,31975.0,152.29753112358063
3131307,4852783.86584761,265409.0,18.28417222418083
1600501,4841561.35832965,27906.0,173.49535434421452
1100130,4817223.26902189,40867.0,117.87562749949568
1500503,4681888.63551203,34076.0,137.3954876015973
1505502,4668061.96014623,114503.0,40.76803193057151
1302702,4644244.21903842,56583.0,82.07843732284292
1508050,4632904.3460913,19168.0,241.69993458322728
1200401,4452694.55574463,413418.0,10.770441915312421
5107206,165800.779380947,5150.0,32.194326093387765
2312403,4446687.41157824,48869.0,90.99198697698418
2412005,136785.394453729,103672.0,1.3194053790196871
5100805,4579622.31245585,10283.0,445.3585833371438
1200500,4565906.71355567,46511.0,98.1683196137617
4203956,4517046.16130726,25177.0,179.41161223764786
4304358,4450820.43554309,9647.0,461.3683461742604
2111300,4448667.70649666,1108975.0,4.011513069723537
5003207,4447906.92276214,112058.0,39.6928994160358
1503705,4327229.58041382,53355.0,81.10260669878775
3536505,4158692.16749312,112003.0,37.13018550836245
2304400,4116025.38731637,2686612.0,1.5320505481686115
5101902,4081833.48224262,20140.0,202.67296336855114
1300904,4037747.02385562,15807.0,255.4404392899108
3106200,3968233.56121425,2521564.0,1.5737191525633496
5106422,3917391.3979731,35338.0,110.8549266504358
5106307,3856230.86341111,22861.0,168.6816352482879
1301704,3763262.675608,56144.0,67.02875953989741
4309704,50872.9160002127,4736.0,10.741747466261128
1506187,3785400.46087844,52803.0,71.68911730163893
1101500,3738513.14309886,11851.0,315.4597201163497
1400308,3691147.43342267,18172.0,203.12279514762656
3302403,3661307.54912616,261501.0,14.001122554507095
5102504,3594518.67024001,94861.0,37.89248131729594
5107859,3577063.49333691,11843.0,302.04031861326604
5106299,3566630.13832217,11244.0,317.2029649877419
1400472,3530060.97952482,30782.0,114.67938988775323
5002704,3465153.45334728,906092.0,3.824284347888824
2701506,43451.9230464176,9567.0,4.541854609221031
1506005,3412028.94297964,29846.0,114.32114665213562
5107776,3048597.6909182,8460.0,360.3543369879669
4215679,260590.836427998,8773.0,29.70373149754907
2928505,66468.8931884382,10464.0,6.3521495784057915
2612802,21057.6579095301,11865.0,1.7747709995389884
3518800,3388701.1881545,1392121.0,2.434200179549407
1200609,3385744.27506874,43151.0,78.46270712309656
1506708,3377977.84967778,74419.0,45.391336213571535
1200104,3345783.65140906,26702.0,125.30086328398848
5106828,3295305.63038055,12097.0,272.4068471836447
1502764,3277690.19359425,13761.0,238.18691908976456
5108907,3256657.25458715,8850.0,367.9838705748192
5103700,3246211.41581227,14522.0,223.5374890381676
5103056,3214545.39770349,12245.0,262.51901982061986
5103304,3175909.75483897,21008.0,151.1762069135077
5103379,3169991.40855377,20238.0,156.6356067078649
2927408,3056566.32491449,2886698.0,1.0588452013042202
5100250,3050501.26526027,51959.0,58.7097762709111
1400027,3039703.8349877,13185.0,230.54257375712552
4106902,3008239.45410456,1948626.0,1.5437746669214925
3549904,2973932.08419272,729737.0,4.0753478091322215
1100452,2406951.20350467,40356.0,59.64295776352141
3109303,527678.624660663,25013.0,21.09617497543929
5106240,2914693.31544082,12298.0,237.00547369009757
5108956,2893739.15536913,9277.0,311.9261782223919
1505908,2834021.13499812,41801.0,67.79792672419607
1100403,2544394.63667128,21847.0,116.46425764046688
4128625,278513.322712356,2685.0,103.7293566898905
1100015,2804433.87676959,22728.0,123.391142061316
2110302,2801651.88983376,14522.0,192.92465843780195
