cod_municipio,obitos_cancer,pop_2021,obitos_cancer_100k
2900306,2,15187,13.169157832356621
2900504,3,10560,28.40909090909091
2900702,4,152327,2.6259297432497193
2900801,1,22490,4.44642063139173
2901007,2,37441,5.3417376672631605
2901601,2,19479,10.267467529133938
2901700,2,11677,17.127686905883362
2902005,2,13045,15.331544653123803
2902104,4,54648,7.319572536963841
2902807,2,20392,9.80776775205963
2903201,7,156975,4.459308807134894
2903235,2,15054,13.285505513484788
2903409,2,23437,8.533515381661475
2903508,4,17109,23.379507861359517
2903607,2,15984,12.512512512512513
2903904,3,69662,4.306508569952054
2903953,2,9823,20.360378703043878
2904001,2,14446,13.844662882458811
2904209,1,10129,9.872642906506071
2904407,2,10618,18.83593897155773
2904506,2,10130,19.743336623889437
2904605,4,67335,5.940447018638152
2904803,2,6488,30.826140567200987
2905008,5,23291,21.467519642780474
2905206,5,51081,9.78837532546348
2905503,2,13391,14.935404376073482
2905701,8,304302,2.628967275929833
2905909,2,28820,6.939625260235947
2906006,2,71487,2.797711472015891
2906303,1,30906,3.2356176794150002
2906402,2,8181,24.44688913335778
2906501,3,87458,3.4302179331793545
2906709,4,25053,15.966151758272462
2906808,2,34882,5.733616191732126
2906857,1,11616,8.608815426997245
2906873,4,30862,12.96092281770462
2906899,1,8801,11.362345188046813
2907004,2,9346,21.39952921035737
2907301,1,26318,3.799680826810548
2907806,2,32576,6.139489194499018
2908002,3,16549,18.127983563961568
2908101,1,18807,5.317169139150316
2908408,1,67013,1.492247772820199
2908507,2,33398,5.98838253787652
2909000,2,8642,23.142791020597084
2909901,1,34886,2.8664793900131857
2910008,2,10525,19.002375296912113
2910107,2,12240,16.33986928104575
2910206,2,4065,49.20049200492005
2910503,1,41901,2.3865778859693085
2910602,2,37578,5.3222630262387565
2910727,7,114396,6.11909507325431
2910800,88,619609,14.202505128234096
2910859,1,16345,6.11807892321811
2911600,1,20762,4.816491667469415
2911709,10,84928,11.774679728711378
2911907,5,24121,20.7288255047469
2912004,3,9031,33.21891263425977
2912301,1,16230,6.161429451632779
2912400,3,18319,16.37643976199574
2912509,2,14947,13.380611493945274
2912806,1,8690,11.507479861910241
2913002,1,16403,6.096445772114857
2913101,2,17080,11.7096018735363
2913606,11,159923,6.878310186777386
2913705,2,40333,4.958718667096423
2913804,2,14354,13.933398355858994
2914000,1,59435,1.6825103053756205
2914505,2,29173,6.855654200802111
2914604,8,73524,10.880800826940863
2914703,3,64646,4.640658354731925
2914802,50,213685,23.398928329082526
2915502,2,20398,9.804882831650161
2916005,2,19316,10.354110581901015
2916104,1,22337,4.476876930653177
2916401,7,76795,9.11517676932092
2916500,1,35883,2.7868349915001533
2916708,1,8347,11.980352222355338
2917102,2,20388,9.809691975671964
2917201,2,19030,10.509721492380452
2917334,1,11016,9.07770515613653
2917359,2,8277,24.163344206838225
2917508,6,80635,7.440937558132324
2917607,3,54673,5.487169169425494
2918001,12,156126,7.686099688712963
2918357,2,25402,7.873395795606645
2918407,29,218162,13.292874102730998
2918506,1,15262,6.552221202987813
2918803,2,24032,8.322237017310252
2919009,2,3758,53.219797764768494
2919157,2,27274,7.332991127080736
2919207,9,201635,4.463510799216406
2919504,4,46062,8.68394772263471
2919801,1,50161,1.9935806702418213
2919926,1,21432,4.665920119447555
2920502,1,20393,4.903643407051439
2920601,2,44793,4.464983367936955
2921054,2,12283,16.282667100871123
2921104,2,22716,8.804366966015143
2921500,1,49278,2.02930313730265
2921708,2,35440,5.643340857787811
2921807,1,12052,8.29737802854298
2922052,1,10673,9.3694368968425
2922409,1,22282,4.487927475092002
2922508,2,28594,6.994474365251452
2922755,1,6554,15.257857796765334
2922854,2,9123,21.92261317549052
2923035,2,12522,15.971889474524836
2923357,3,17511,17.13208840157615
2923407,1,21796,4.587997797761057
2923605,2,21695,9.218713989398479
2924009,7,118516,5.906375510479598
2924058,2,13556,14.753614635585718
2924306,1,16984,5.887894488930758
2924405,4,35175,11.371712864250178
2924603,1,20098,4.975619464623346
2924801,1,24964,4.00576830636116
2925105,7,46879,14.932059130954158
2925303,7,150658,4.646284963294349
2925709,1,12179,8.210854749979474
2926004,2,41170,4.857906242409522
2926301,2,33468,5.975857535556353
2926400,1,35593,2.8095412019217263
2926608,3,53956,5.560085995996738
2926707,2,12932,15.465511908444169
2927002,3,40976,7.321358844201484
2927408,633,2886698,21.92816844713233
2927606,3,14063,21.332574841783405
2928406,1,28481,3.511112671605632
2928703,15,102380,14.651299081851924
2928802,2,53269,3.7545289004862115
2928950,1,9072,11.022927689594356
2929206,1,40245,2.4847807181016277
2929255,1,18789,5.3222630262387565
2929370,1,10505,9.51927653498334
2929503,1,44430,2.2507314877335136
2929602,2,17409,11.488310643919812
2929750,1,12105,8.261049153242462
2929909,1,44234,2.2607044355021024
2930105,2,79424,2.5181305398871876
2930154,1,31416,3.183091418385536
2930402,1,14699,6.803183890060549
2930501,2,81286,2.460448293679108
2930709,2,135783,1.4729384385379614
2930766,1,9701,10.308215647871354
2930774,2,23233,8.608444884431627
2930808,1,17050,5.865102639296188
2930907,2,12516,15.979546180888462
2931053,1,17443,5.7329587800263715
2931350,24,162438,14.7748679496177
2932507,2,18544,10.785159620362382
2932606,1,16665,6.0006000600060005
2932705,2,20413,9.797677950325772
2933059,2,14121,14.163302882232136
2933174,1,8785,11.383039271485487
2933208,1,43716,2.287491993778022
2933307,60,341128,17.588705705776132
2933406,2,9344,21.404109589041095
2933455,1,12180,8.210180623973727
3100203,2,23250,8.602150537634408
3101508,1,35401,2.8247789610462983
3101607,37,80494,45.966158968370316
3101706,4,42143,9.491493249175427
3101805,2,7436,26.89618074233459
3101904,2,19958,10.02104419280489
3102407,1,3605,27.739251040221912
3103405,1,36712,2.723904990193942
3103504,6,117825,5.092297899427116
3104007,3,107337,2.7949355767349564
3104106,2,10883,18.377285674905817
3104205,3,40380,7.429420505200595
3104908,2,19199,10.417209229647378
3105103,1,23898,4.184450581638631
3105400,1,32866,3.042658066086533
3105608,23,138204,16.64206535266707
3105905,1,20897,4.78537589127626
3106002,1,10262,9.744689144416293
3106200,740,2521564,29.34686567543001
3106705,18,444784,4.046908162164106
3107109,1,40219,2.4863870310052465
3107307,2,50256,3.979624323463865
3107406,2,51028,3.919416790781532
3108602,2,32405,6.171887054466903
3108909,1,14410,6.939625260235947
3109105,1,10991,9.098353198071148
3110004,2,45047,4.439807312362643
3110707,2,12812,15.610365282547612
3110905,1,16762,5.965875193890944
3111101,3,19752,15.188335358444714
3111200,5,54186,9.227475731738826
3112000,1,14888,6.716818914562063
3112604,1,16234,6.159911297277319
3113305,1,33011,3.02929326588107
3113404,4,92603,4.319514486571709
3113701,3,18674,16.06511727535611
3114501,2,19559,10.22547164987985
3115102,1,17740,5.636978579481398
3115508,2,21610,9.254974548819991
3115706,1,7046,14.192449616803861
3115805,1,10346,9.665571235260003
3116605,2,28859,6.930247063307807
3116803,2,8841,22.621875353466802
3118205,1,6969,14.349261013057827
3118304,13,129606,10.030399827168495
3118601,21,668949,3.1392527681482445
3118809,2,26611,7.5156890007891475
3118908,2,8897,22.479487467685736
3119104,3,23668,12.675342234240324
3119401,6,110290,5.440203100915768
3120201,3,12931,23.200061866831646
3120508,2,10226,19.557989438685702
3120805,3,15474,19.387359441644048
3120904,11,80616,13.644934008137342
3121605,8,47825,16.7276529012023
3122306,76,240408,31.612924694685702
3122405,1,6025,16.597510373443985
3123205,4,13427,29.790720190660608
3123908,1,15380,6.501950585175552
3124104,2,71551,2.7952090117538537
3124203,2,25122,7.9611495900007965
3124302,2,31610,6.3271116735210375
3124500,1,11386,8.782715615668364
3124906,1,11330,8.8261253309797
3125101,2,36951,5.412573408026846
3125606,4,7504,53.304904051172706
3125705,1,15433,6.479621590099138
3126109,9,67822,13.270030373625078
3127107,5,60012,8.331666999933347
3127602,1,11818,8.461668641056017
3127701,43,281046,15.299986479081715
3128006,4,34573,11.56972203742805
3128303,2,19017,10.51690592627649
3128709,5,52078,9.600983140673605
3129103,1,5577,17.930787161556392
3129509,1,25358,3.943528669453427
3129707,2,13986,14.3000143000143
3130101,1,43817,2.2822192299792317
3130507,2,12444,16.07200257152041
3131000,1,6312,15.842839036755386
3131208,3,20000,15.0
3131307,82,265409,30.89571190125429
3131703,11,120904,9.098127439952359
3131802,1,11576,8.638562543192812
3131901,1,52446,1.9067231056705944
3132107,2,18164,11.010790574763268
3132404,9,97334,9.246512010191712
3132503,6,34936,17.174261506755208
3132701,5,23209,21.543366797363092
3132909,1,10157,9.845426799251747
3133105,1,15423,6.483822861959411
3133303,1,21029,4.755337866755433
3133501,3,21761,13.786131152061026
3133808,6,93847,6.393384977676431
3134202,9,105255,8.550662676357417
3134608,1,20418,4.897639337839162
3134707,2,12323,16.22981416862777
3134905,4,26264,15.229972586049344
3135050,2,39388,5.077688636132832
3135100,4,72018,5.554167013802105
3135209,3,67852,4.421387726227672
3135308,1,4384,22.81021897810219
3135803,4,25474,15.702284682421292
3136207,4,80416,4.974134500596896
3136306,2,47726,4.19058793948791
3136702,117,573285,20.408697244825873
3137106,2,7600,26.31578947368421
3137205,5,52711,9.48568609967559
3137601,4,65657,6.09226738961573
3137809,1,20907,4.783087004352609
3138203,16,104783,15.269652519969842
3138401,4,52640,7.598784194528875
3138609,1,16724,5.97943075819182
3138674,2,6258,31.959092361776925
3138906,1,7111,14.06271972999578
3139003,2,42413,4.715535331148469
3139300,2,18226,10.97333479644464
3139409,6,91169,6.5811843938180745
3139607,1,27647,3.617028972402069
3140001,2,61288,3.263281555932646
3140555,1,8644,11.568718186024988
3140852,1,11260,8.880994671403197
3141009,1,12412,8.056719303899452
3141702,1,5546,18.031013342949873
3142007,2,13620,14.684287812041116
3142809,2,21236,9.417969485778865
3143104,9,47931,18.776991925893473
3143203,1,21513,4.648352159159578
3143302,125,413487,30.2306964910626
3143906,103,109392,94.15679391546
3144359,2,7051,28.364770954474544
3144607,2,26826,7.455453664355476
3144706,3,17551,17.0930431314455
3144805,59,96157,61.35798745801138
3145307,3,31335,9.573958831977022
3145604,5,41840,11.950286806883366
3145901,3,39867,7.525020693806908
3146008,4,33791,11.837471516084165
3146107,4,74558,5.364950776576625
3146701,1,6611,15.126304643775526
3147006,6,93862,6.392363256696001
3147105,11,94808,11.60239642224285
3147204,2,21605,9.257116408238833
3147303,1,21221,4.712313274586495
3147600,4,16393,24.40065881778808
3147709,1,8057,12.411567580985478
3147907,30,115337,26.010733762799447
3148004,24,153585,15.626526027932416
3148103,5,91449,5.46752834913449
3149309,3,64712,4.635925330696007
3151107,1,10772,9.28332714444857
3151206,5,56640,8.82768361581921
3151404,1,28215,3.54421407052986
3151503,7,34918,20.046967180250874
3151602,1,12292,8.135372600065082
3151701,2,16846,11.872254541137362
3151800,39,168641,23.126048825611804
3152006,1,32035,3.121585765568909
3152105,12,59875,20.041753653444676
3152204,2,37864,5.282062117050496
3152501,45,152549,29.498718444565352
3152600,1,5900,16.949152542372882
3152808,3,28017,10.707784559374666
3154002,2,23711,8.434903631226014
3154309,2,17396,11.496895838123706
3154606,1,338197,0.29568565067105856
3156700,1,137125,0.7292616226071102
3156908,4,26374,15.166451808599378
3157104,1,7012,14.26126640045636
3157609,2,3826,52.27391531625719
3157807,5,220444,2.268149734172851
3158201,2,14611,13.688317021422217
3159605,3,43753,6.85667268530158
3159902,2,18613,10.74517810132703
3160702,3,46421,6.462592361215829
3161106,3,56477,5.311896878375268
3161502,2,12562,15.921031682853048
3162104,1,35782,2.7947012464367558
3162500,7,90497,7.735063040763782
3162609,2,7444,26.867275658248253
3163706,15,46202,32.46612700748885
3163904,1,4610,21.691973969631235
3164209,2,12529,15.962965919067763
3164605,2,6863,29.141774734081306
3164704,6,71445,8.39806844425782
3165008,1,10960,9.124087591240876
3165537,2,33413,5.9856941908837875
3166709,2,8713,22.95420635831516
3166808,1,11668,8.570449091532396
3167202,19,241835,7.856596439721297
3168002,1,34397,2.907230281710614
3168408,2,14302,13.984058173682003
3168606,7,140937,4.966758196924867
3169059,1,4109,24.33682161109759
3169208,1,7850,12.738853503184714
3169307,3,80032,3.7485005997600958
3169356,2,32716,6.11321677466683
3169406,6,56940,10.53740779768177
3169604,1,25398,3.937317899047169
3169703,2,20125,9.937888198757763
3169901,16,116797,13.69898199440054
3170057,3,12493,24.013447530617146
3170107,89,337092,26.402287802736346
3170206,130,699097,18.595416658918577
3170404,6,84930,7.064641469445426
3170701,33,136602,24.157772214169633
3170800,1,39803,2.512373439188001
3171006,1,20642,4.844491812808837
3171204,2,129765,1.5412476399645514
3171303,7,79388,8.81745351942359
3171808,1,10484,9.538344143456696
3172004,4,42965,9.309903409752124
3200102,2,30455,6.567066163191594
3200169,2,10909,18.33348611238427
3200300,2,14636,13.664935774801858
3200805,4,31132,12.848515996402416
3200904,1,44979,2.2232597434358254
3201209,52,210589,24.692647764128232
3201308,22,383917,5.730405269889064
3201506,19,123400,15.39708265802269
3201605,2,31273,6.3952930643046715
3202108,2,22835,8.75848478213269
3202306,5,31122,16.06580553948975
3202405,1,126701,0.7892597532774012
3202454,1,26426,3.784151971543177
3202603,1,13973,7.156659271452086
3202801,3,34656,8.65650969529086
3203007,1,29290,3.4141345168999657
3203163,1,10933,9.14662032379036
3203205,23,176688,13.017296024630989
