sigla_uf,nome_municipio2,n_partidos_vitoriosos,n_partidos,porcentagem_eleitos
GO,Rio Quente,4.0,7.0,0.5714285714285714
SP,Oscar Bressane,4.0,6.0,0.6666666666666666
PI,Barreiras do Piauí,4.0,5.0,0.8
MG,Conceição de Ipanema,4.0,5.0,0.8
SP,Gavião Peixoto,4.0,10.0,0.4
GO,Inaciolândia,4.0,6.0,0.6666666666666666
PE,Lagoa do Ouro,4.0,6.0,0.6666666666666666
MG,Joaquim Felício,4.0,6.0,0.6666666666666666
PI,Corrente,4.0,7.0,0.5714285714285714
PR,Leópolis,4.0,6.0,0.6666666666666666
PE,Alagoinha,4.0,4.0,1.0
MT,Pontal do Araguaia,4.0,8.0,0.5
PA,São Domingos do Araguaia,4.0,9.0,0.4444444444444444
MG,Córrego Novo,4.0,5.0,0.8
PE,São João,4.0,6.0,0.6666666666666666
PE,Capoeiras,4.0,9.0,0.4444444444444444
PR,Espigão Alto do Iguaçu,4.0,7.0,0.5714285714285714
PE,Caetés,4.0,5.0,0.8
ES,Dores do Rio Preto,4.0,6.0,0.6666666666666666
RJ,Rio das Flores,4.0,8.0,0.5
RS,Tupandi,4.0,6.0,0.6666666666666666
AL,Coqueiro Seco,4.0,8.0,0.5
SP,Platina,4.0,6.0,0.6666666666666666
MG,São José da Safira,4.0,6.0,0.6666666666666666
AL,São Luís do Quitunde,4.0,5.0,0.8
AL,São Miguel dos Milagres,4.0,7.0,0.5714285714285714
AL,Coruripe,4.0,6.0,0.6666666666666666
RS,Arroio do Tigre,4.0,5.0,0.8
PR,Japira,4.0,14.0,0.2857142857142857
PR,Curiúva,4.0,6.0,0.6666666666666666
PR,Antônio Olinto,4.0,5.0,0.8
MG,Antônio Dias,4.0,6.0,0.6666666666666666
SC,São João do Itaperiú,4.0,6.0,0.6666666666666666
BA,Barrocas,4.0,5.0,0.8
BA,Santaluz,4.0,9.0,0.4444444444444444
RS,Maratá,4.0,6.0,0.6666666666666666
BA,Queimadas,4.0,5.0,0.8
MA,Itaipava do Grajaú,4.0,6.0,0.6666666666666666
RN,Tangará,4.0,7.0,0.5714285714285714
AL,Jequiá da Praia,4.0,7.0,0.5714285714285714
RN,Sítio Novo,4.0,6.0,0.6666666666666666
SC,Canelinha,4.0,7.0,0.5714285714285714
SC,Major Gercino,4.0,5.0,0.8
AL,São Miguel dos Campos,4.0,11.0,0.36363636363636365
AL,Branquinha,4.0,9.0,0.4444444444444444
BA,Nova Fátima,4.0,5.0,0.8
AL,Santana do Mundaú,4.0,5.0,0.8
RN,Santa Cruz,4.0,9.0,0.4444444444444444
SC,Apiúna,4.0,6.0,0.6666666666666666
RS,Westfália,4.0,5.0,0.8
RS,Dom Feliciano,4.0,7.0,0.5714285714285714
MG,Franciscópolis,4.0,5.0,0.8
PR,Sapopema,4.0,7.0,0.5714285714285714
RS,Imbé,4.0,8.0,0.5
RS,Marques de Souza,4.0,5.0,0.8
MG,São Geraldo do Baixio,4.0,5.0,0.8
AL,Pilar,4.0,7.0,0.5714285714285714
PR,Sertaneja,4.0,5.0,0.8
AL,Santa Luzia do Norte,4.0,6.0,0.6666666666666666
MG,Pavão,4.0,6.0,0.6666666666666666
AL,Colônia Leopoldina,4.0,8.0,0.5
RS,Progresso,4.0,6.0,0.6666666666666666
AL,Japaratinga,4.0,7.0,0.5714285714285714
MG,Novo Oriente de Minas,4.0,8.0,0.5
SC,Rancho Queimado,4.0,5.0,0.8
SP,Iacri,4.0,5.0,0.8
SC,São Bonifácio,4.0,5.0,0.8
RS,Muçum,4.0,6.0,0.6666666666666666
SP,Queiroz,4.0,6.0,0.6666666666666666
GO,Edealina,4.0,8.0,0.5
PR,Figueira,4.0,9.0,0.4444444444444444
PR,Jaboti,4.0,5.0,0.8
RS,Taquari,4.0,9.0,0.4444444444444444
MG,Braúnas,4.0,6.0,0.6666666666666666
AL,Passo de Camaragibe,4.0,8.0,0.5
MG,Frei Gaspar,4.0,6.0,0.6666666666666666
RS,Pareci Novo,4.0,5.0,0.8
AL,Flexeiras,4.0,6.0,0.6666666666666666
PA,Bannach,4.0,9.0,0.4444444444444444
PI,Alvorada do Gurguéia,4.0,5.0,0.8
MG,Itabirinha,4.0,5.0,0.8
RS,Gramado,4.0,13.0,0.3076923076923077
PA,Brejo Grande do Araguaia,4.0,8.0,0.5
SP,Paulistânia,4.0,5.0,0.8
PB,Pocinhos,4.0,6.0,0.6666666666666666
SP,Lutécia,4.0,7.0,0.5714285714285714
MG,Pimenta,4.0,6.0,0.6666666666666666
PI,Eliseu Martins,4.0,7.0,0.5714285714285714
PB,Remígio,4.0,8.0,0.5
SC,Presidente Getúlio,4.0,8.0,0.5
SC,Agrolândia,4.0,10.0,0.4
MG,Perdigão,4.0,6.0,0.6666666666666666
RS,Mariana Pimentel,4.0,7.0,0.5714285714285714
SC,Chapadão do Lageado,4.0,6.0,0.6666666666666666
SP,Júlio Mesquita,4.0,7.0,0.5714285714285714
RS,Santo Antônio da Patrulha,4.0,8.0,0.5
RN,Monte Alegre,4.0,6.0,0.6666666666666666
PI,Uruçuí,4.0,9.0,0.4444444444444444
RS,Capivari do Sul,4.0,6.0,0.6666666666666666
PR,Barra do Jacaré,4.0,7.0,0.5714285714285714
MG,Jaguaraçu,4.0,5.0,0.8
SP,Lucianópolis,4.0,6.0,0.6666666666666666
SC,Ituporanga,4.0,6.0,0.6666666666666666
PI,Ribeiro Gonçalves,4.0,5.0,0.8
PR,Cambará,4.0,13.0,0.3076923076923077
RS,Caraá,4.0,6.0,0.6666666666666666
PR,Carlópolis,4.0,7.0,0.5714285714285714
PA,Abel Figueiredo,4.0,6.0,0.6666666666666666
SC,Anitápolis,4.0,5.0,0.8
MG,Quartel Geral,4.0,5.0,0.8
SC,Mirim Doce,4.0,6.0,0.6666666666666666
SP,Anhembi,4.0,8.0,0.5
SP,Bofete,4.0,7.0,0.5714285714285714
MG,Frei Lagonegro,4.0,5.0,0.8
SC,Alfredo Wagner,4.0,7.0,0.5714285714285714
RS,Canela,4.0,9.0,0.4444444444444444
GO,Chapadão do Céu,4.0,8.0,0.5
MG,Iguatama,4.0,7.0,0.5714285714285714
SC,Angelina,4.0,7.0,0.5714285714285714
SP,Botucatu,4.0,15.0,0.26666666666666666
SP,Reginópolis,4.0,8.0,0.5
SP,Dois Córregos,4.0,6.0,0.6666666666666666
PB,Lagoa de Dentro,4.0,6.0,0.6666666666666666
MG,São José do Jacuri,4.0,8.0,0.5
RS,Mostardas,4.0,7.0,0.5714285714285714
GO,Paraúna,4.0,9.0,0.4444444444444444
GO,Cristianópolis,4.0,9.0,0.4444444444444444
RS,Mampituba,4.0,5.0,0.8
MG,Medeiros,4.0,5.0,0.8
MG,Pains,4.0,7.0,0.5714285714285714
PB,Aroeiras,4.0,10.0,0.4
MG,São Sebastião do Oeste,4.0,6.0,0.6666666666666666
RS,Feliz,4.0,7.0,0.5714285714285714
SP,Pardinho,4.0,5.0,0.8
SP,Iacanga,4.0,8.0,0.5
PB,Soledade,4.0,9.0,0.4444444444444444
PB,Umbuzeiro,4.0,6.0,0.6666666666666666
PE,Vertente do Lério,4.0,7.0,0.5714285714285714
PE,Agrestina,4.0,8.0,0.5
RS,Barão,4.0,6.0,0.6666666666666666
RS,Mato Leitão,4.0,4.0,1.0
GO,Santo Antônio da Barra,4.0,7.0,0.5714285714285714
RS,Vale Verde,4.0,6.0,0.6666666666666666
SP,Cruzália,4.0,6.0,0.6666666666666666
RS,Vale do Sol,4.0,5.0,0.8
PA,Palestina do Pará,4.0,5.0,0.8
MG,Paulistas,4.0,7.0,0.5714285714285714
SP,Águas de Santa Bárbara,4.0,7.0,0.5714285714285714
MG,Santana do Jacaré,4.0,5.0,0.8
PI,Colônia do Gurguéia,4.0,8.0,0.5
MG,José Raydan,4.0,5.0,0.8
SP,Borá,4.0,6.0,0.6666666666666666
MG,São Sebastião do Maranhão,4.0,5.0,0.8
SP,Trabiju,4.0,6.0,0.6666666666666666
PI,Santa Filomena,4.0,8.0,0.5
PE,Jataúba,4.0,6.0,0.6666666666666666
PR,Itambaracá,4.0,7.0,0.5714285714285714
PI,Riacho Frio,4.0,9.0,0.4444444444444444
SC,Balneário Piçarras,4.0,9.0,0.4444444444444444
MT,General Carneiro,4.0,6.0,0.6666666666666666
PI,Morro Cabeça no Tempo,4.0,8.0,0.5
SP,Álvaro de Carvalho,4.0,6.0,0.6666666666666666
MG,Coluna,4.0,5.0,0.8
RS,Morro Reuter,4.0,4.0,1.0
PE,Santa Maria do Cambucá,4.0,6.0,0.6666666666666666
PR,Guapirama,4.0,5.0,0.8
PR,Sengés,4.0,5.0,0.8
SC,Benedito Novo,4.0,5.0,0.8
PI,Antônio Almeida,4.0,7.0,0.5714285714285714
PI,São José do Peixe,4.0,5.0,0.8
MG,Dores de Guanhães,4.0,5.0,0.8
SP,Borebi,4.0,6.0,0.6666666666666666
PB,Nova Floresta,4.0,5.0,0.8
RS,Encantado,4.0,8.0,0.5
RS,Arroio do Sal,4.0,9.0,0.4444444444444444
MG,Santa Rita de Minas,4.0,8.0,0.5
RS,Picada Café,4.0,8.0,0.5
MG,Carmópolis de Minas,4.0,7.0,0.5714285714285714
RS,Bom Princípio,4.0,7.0,0.5714285714285714
MG,Pingo-d'Água,4.0,6.0,0.6666666666666666
RS,Paraíso do Sul,4.0,6.0,0.6666666666666666
SC,Porto Belo,4.0,6.0,0.6666666666666666
MG,Imbé de Minas,4.0,9.0,0.4444444444444444
RN,Lagoa de Pedras,4.0,7.0,0.5714285714285714
RS,Ivoti,4.0,6.0,0.6666666666666666
PI,Canavieira,4.0,8.0,0.5
RS,Herveiras,4.0,5.0,0.8
PE,Casinhas,4.0,7.0,0.5714285714285714
GO,Mineiros,4.0,12.0,0.3333333333333333
PE,Frei Miguelinho,4.0,8.0,0.5
RN,São Tomé,4.0,5.0,0.8
PB,Juarez Távora,4.0,9.0,0.4444444444444444
BA,Piritiba,4.0,8.0,0.5
MG,Seritinga,4.0,5.0,0.8
PR,Grandes Rios,4.0,6.0,0.6666666666666666
CE,Icapuí,4.0,7.0,0.5714285714285714
MG,Engenheiro Caldas,4.0,5.0,0.8
PR,Arapuã,4.0,5.0,0.8
SP,Nova Guataporanga,4.0,8.0,0.5
PR,Novo Itacolomi,4.0,5.0,0.8
MA,São Domingos do Azeitão,4.0,5.0,0.8
PR,Kaloré,4.0,7.0,0.5714285714285714
PR,Tamarana,4.0,6.0,0.6666666666666666
PI,Pio IX,4.0,5.0,0.8
GO,Nova Aurora,4.0,5.0,0.8
PR,Primeiro de Maio,4.0,8.0,0.5
SP,Flora Rica,4.0,6.0,0.6666666666666666
SP,Sagres,4.0,5.0,0.8
PR,Prado Ferreira,4.0,7.0,0.5714285714285714
BA,Potiraguá,4.0,6.0,0.6666666666666666
PR,Pitangueiras,4.0,5.0,0.8
CE,Tabuleiro do Norte,4.0,5.0,0.8
PR,Lunardelli,4.0,5.0,0.8
PR,Manoel Ribas,4.0,6.0,0.6666666666666666
PR,Rio Branco do Ivaí,4.0,7.0,0.5714285714285714
RS,Dilermando de Aguiar,4.0,6.0,0.6666666666666666
MA,Sucupira do Norte,4.0,8.0,0.5
RS,Agudo,4.0,8.0,0.5
SC,Monte Carlo,4.0,8.0,0.5
SC,Vargem,4.0,5.0,0.8
SC,Abdon Batista,4.0,8.0,0.5
MS,Angélica,4.0,7.0,0.5714285714285714
SC,Frei Rogério,4.0,6.0,0.6666666666666666
PR,Miraselva,4.0,5.0,0.8
GO,Aparecida do Rio Doce,4.0,11.0,0.36363636363636365
MS,Mundo Novo,4.0,10.0,0.4
SC,Rio Rufino,4.0,9.0,0.4444444444444444
SC,Ponte Alta,4.0,7.0,0.5714285714285714
SC,Painel,4.0,7.0,0.5714285714285714
SC,Otacílio Costa,4.0,6.0,0.6666666666666666
MS,Caracol,4.0,6.0,0.6666666666666666
SP,Paulicéia,4.0,8.0,0.5
MS,Itaquiraí,4.0,7.0,0.5714285714285714
SC,Brunópolis,4.0,8.0,0.5
MA,Colinas,4.0,9.0,0.4444444444444444
MG,São Félix de Minas,4.0,7.0,0.5714285714285714
PR,Florestópolis,4.0,6.0,0.6666666666666666
MG,São João do Manteninha,4.0,5.0,0.8
GO,Campo Alegre de Goiás,4.0,5.0,0.8
SP,Sud Mennucci,4.0,6.0,0.6666666666666666
BA,Ibiassucê,4.0,6.0,0.6666666666666666
SP,Murutinga do Sul,4.0,8.0,0.5
GO,Cachoeira Dourada,4.0,10.0,0.4
SP,Mirandópolis,4.0,7.0,0.5714285714285714
SP,Itapura,4.0,6.0,0.6666666666666666
SP,Caiuá,4.0,5.0,0.8
SP,Guaraçaí,4.0,7.0,0.5714285714285714
SP,Sandovalina,4.0,9.0,0.4444444444444444
BA,Cabaceiras do Paraguaçu,4.0,8.0,0.5
MG,São João da Mata,4.0,5.0,0.8
PI,Oeiras,4.0,7.0,0.5714285714285714
BA,Castro Alves,4.0,7.0,0.5714285714285714
SP,Piquerobi,4.0,6.0,0.6666666666666666
BA,Conceição do Almeida,4.0,7.0,0.5714285714285714
PR,Atalaia,4.0,5.0,0.8
PA,Trairão,4.0,7.0,0.5714285714285714
PR,Floresta,4.0,6.0,0.6666666666666666
MS,Juti,4.0,7.0,0.5714285714285714
PI,Vera Mendes,4.0,6.0,0.6666666666666666
MG,Jacutinga,4.0,9.0,0.4444444444444444
PR,Alvorada do Sul,4.0,5.0,0.8
GO,Urutaí,4.0,5.0,0.8
PR,Santo Inácio,4.0,7.0,0.5714285714285714
SP,Adamantina,4.0,9.0,0.4444444444444444
PI,Wall Ferraz,4.0,5.0,0.8
GO,Goiandira,4.0,5.0,0.8
PR,Guaraci,4.0,5.0,0.8
SP,Santa Mercedes,4.0,6.0,0.6666666666666666
BA,Caetité,4.0,9.0,0.4444444444444444
PR,Ourizona,4.0,6.0,0.6666666666666666
BA,Candiba,4.0,6.0,0.6666666666666666
PR,Munhoz de Melo,4.0,7.0,0.5714285714285714
BA,São Francisco do Conde,4.0,7.0,0.5714285714285714
PR,Ivatuba,4.0,6.0,0.6666666666666666
PR,Itambé,4.0,5.0,0.8
GO,Buriti Alegre,4.0,8.0,0.5
PR,Santa Fé,4.0,8.0,0.5
RS,Faxinal do Soturno,4.0,5.0,0.8
RS,Pinhal Grande,4.0,5.0,0.8
RS,Quevedos,4.0,5.0,0.8
MA,Nova Colinas,4.0,5.0,0.8
MA,Riachão,4.0,8.0,0.5
MS,Novo Horizonte do Sul,4.0,7.0,0.5714285714285714
GO,Sanclerlândia,4.0,8.0,0.5
MG,São José da Barra,4.0,6.0,0.6666666666666666
GO,Cachoeira de Goiás,4.0,5.0,0.8
PA,Cachoeira do Piriá,4.0,5.0,0.8
PA,Santa Luzia do Pará,4.0,8.0,0.5
MG,Fortaleza de Minas,4.0,6.0,0.6666666666666666
GO,Mossâmedes,4.0,5.0,0.8
GO,Itapuranga,4.0,9.0,0.4444444444444444
GO,Itauçu,4.0,7.0,0.5714285714285714
BA,Boa Nova,4.0,9.0,0.4444444444444444
BA,Irajuba,4.0,6.0,0.6666666666666666
MG,São Pedro da União,4.0,7.0,0.5714285714285714
GO,Heitoraí,4.0,6.0,0.6666666666666666
PA,Peixe-Boi,4.0,6.0,0.6666666666666666
GO,Israelândia,4.0,5.0,0.8
PA,Igarapé-Açu,4.0,11.0,0.36363636363636365
BA,Tremedal,4.0,8.0,0.5
GO,Santa Bárbara de Goiás,4.0,7.0,0.5714285714285714
MG,Goiabeira,4.0,5.0,0.8
BA,Planalto,4.0,8.0,0.5
BA,Piripá,4.0,6.0,0.6666666666666666
BA,Mirante,4.0,5.0,0.8
AM,Tapauá,4.0,7.0,0.5714285714285714
MG,Arceburgo,4.0,7.0,0.5714285714285714
MA,Alto Parnaíba,4.0,9.0,0.4444444444444444
BA,Ituaçu,4.0,10.0,0.4
PA,Quatipuru,4.0,8.0,0.5
GO,Itapaci,4.0,9.0,0.4444444444444444
MG,Juruaia,4.0,6.0,0.6666666666666666
BA,Ibicoara,4.0,5.0,0.8
MG,Fama,4.0,5.0,0.8
BA,Ribeirão do Largo,4.0,6.0,0.6666666666666666
GO,Barro Alto,4.0,6.0,0.6666666666666666
MA,Fortaleza dos Nogueiras,4.0,5.0,0.8
MG,Divisa Nova,4.0,6.0,0.6666666666666666
BA,Encruzilhada,4.0,8.0,0.5
BA,Iramaia,4.0,8.0,0.5
GO,Americano do Brasil,4.0,8.0,0.5
GO,Adelândia,4.0,10.0,0.4
BA,Itiruçu,4.0,5.0,0.8
MT,Denise,4.0,9.0,0.4444444444444444
MG,Cachoeira de Minas,4.0,7.0,0.5714285714285714
MA,São Bernardo,4.0,10.0,0.4
MA,Afonso Cunha,4.0,6.0,0.6666666666666666
MS,Paraíso das Águas,4.0,5.0,0.8
MS,Inocência,4.0,6.0,0.6666666666666666
MS,Chapadão do Sul,4.0,5.0,0.8
BA,São Miguel das Matas,4.0,8.0,0.5
MT,Rio Branco,4.0,7.0,0.5714285714285714
MA,Buriti Bravo,4.0,5.0,0.8
MA,Matões,4.0,5.0,0.8
RS,Santiago,4.0,9.0,0.4444444444444444
MG,Cordislândia,4.0,7.0,0.5714285714285714
RS,Vila Nova do Sul,4.0,6.0,0.6666666666666666
MG,São Vicente de Minas,4.0,6.0,0.6666666666666666
RS,São Sepé,4.0,6.0,0.6666666666666666
RS,São Martinho da Serra,4.0,6.0,0.6666666666666666
CE,Iracema,4.0,5.0,0.8
MS,Santa Rita do Pardo,4.0,5.0,0.8
GO,Vianópolis,4.0,7.0,0.5714285714285714
MA,Magalhães de Almeida,4.0,8.0,0.5
MA,Urbano Santos,4.0,9.0,0.4444444444444444
GO,Santa Rosa de Goiás,4.0,8.0,0.5
GO,Ouro Verde de Goiás,4.0,5.0,0.8
MG,Delfinópolis,4.0,6.0,0.6666666666666666
MA,Anapurus,4.0,8.0,0.5
MG,Coqueiral,4.0,5.0,0.8
BA,Lajedo do Tabocal,4.0,6.0,0.6666666666666666
MG,Capetinga,4.0,8.0,0.5
MG,Monte Santo de Minas,4.0,6.0,0.6666666666666666
MA,Água Doce do Maranhão,4.0,7.0,0.5714285714285714
MA,Buriti,4.0,10.0,0.4
MA,São Raimundo das Mangabeiras,4.0,9.0,0.4444444444444444
MA,Santa Quitéria do Maranhão,4.0,9.0,0.4444444444444444
MG,Capitólio,4.0,6.0,0.6666666666666666
MG,Albertina,4.0,6.0,0.6666666666666666
MT,Reserva do Cabaçal,4.0,5.0,0.8
MA,São Benedito do Rio Preto,4.0,7.0,0.5714285714285714
MT,Glória D'Oeste,4.0,6.0,0.6666666666666666
MS,Aral Moreira,4.0,8.0,0.5
GO,Caldazinha,4.0,6.0,0.6666666666666666
MG,Senador Amaral,4.0,5.0,0.8
SP,Lourdes,4.0,6.0,0.6666666666666666
PI,Tanque do Piauí,4.0,5.0,0.8
MG,Divino das Laranjeiras,4.0,5.0,0.8
PE,Glória do Goitá,4.0,9.0,0.4444444444444444
BA,Santo Estêvão,4.0,7.0,0.5714285714285714
BA,Santanópolis,4.0,7.0,0.5714285714285714
PE,Rio Formoso,4.0,9.0,0.4444444444444444
PE,São José da Coroa Grande,4.0,13.0,0.3076923076923077
PE,Sirinhaém,4.0,14.0,0.2857142857142857
BA,Ipirá,4.0,9.0,0.4444444444444444
BA,Ipecaetá,4.0,6.0,0.6666666666666666
PE,Chã Grande,4.0,6.0,0.6666666666666666
PE,Quipapá,4.0,6.0,0.6666666666666666
BA,Palmeiras,4.0,7.0,0.5714285714285714
PR,Boa Ventura de São Roque,4.0,8.0,0.5
PE,Cortês,4.0,8.0,0.5
PE,Ribeirão,4.0,12.0,0.3333333333333333
MG,Jampruca,4.0,5.0,0.8
BA,Aporá,4.0,8.0,0.5
BA,Ibitiara,4.0,5.0,0.8
BA,Várzea da Roça,4.0,7.0,0.5714285714285714
PE,Joaquim Nabuco,4.0,5.0,0.8
PE,Jaqueira,4.0,9.0,0.4444444444444444
MG,Monte Carmelo,4.0,10.0,0.4
BA,Boa Vista do Tupim,4.0,8.0,0.5
CE,Antonina do Norte,4.0,8.0,0.5
MG,Romaria,4.0,6.0,0.6666666666666666
BA,Saúde,4.0,11.0,0.36363636363636365
PB,Marcação,4.0,5.0,0.8
PB,Mataraca,4.0,6.0,0.6666666666666666
PB,Rio Tinto,4.0,10.0,0.4
PA,Água Azul do Norte,4.0,9.0,0.4444444444444444
PR,Turvo,4.0,6.0,0.6666666666666666
CE,Orós,4.0,5.0,0.8
MG,Carmo do Paranaíba,4.0,8.0,0.5
CE,Ipaumirim,4.0,7.0,0.5714285714285714
CE,Icó,4.0,10.0,0.4
BA,Boninal,4.0,6.0,0.6666666666666666
PE,Água Preta,4.0,8.0,0.5
BA,Capim Grosso,4.0,7.0,0.5714285714285714
SP,Estrela do Norte,4.0,7.0,0.5714285714285714
PE,Aliança,4.0,6.0,0.6666666666666666
BA,Jaguarari,4.0,5.0,0.8
MG,São Sebastião do Rio Verde,4.0,5.0,0.8
BA,Aramari,4.0,9.0,0.4444444444444444
SE,Arauá,4.0,8.0,0.5
SP,Anhumas,4.0,6.0,0.6666666666666666
BA,Cícero Dantas,4.0,6.0,0.6666666666666666
SE,Santo Amaro das Brotas,4.0,15.0,0.26666666666666666
SE,Riachuelo,4.0,6.0,0.6666666666666666
MG,Inimutaba,4.0,7.0,0.5714285714285714
MG,Monjolos,4.0,4.0,1.0
MG,Cruzília,4.0,8.0,0.5
SE,Boquim,4.0,8.0,0.5
BA,Coronel João Sá,4.0,6.0,0.6666666666666666
SE,Capela,4.0,11.0,0.36363636363636365
MG,Morro da Garça,4.0,5.0,0.8
PR,Mato Rico,4.0,6.0,0.6666666666666666
AL,Teotônio Vilela,4.0,6.0,0.6666666666666666
MT,Nova Marilândia,4.0,5.0,0.8
BA,Capela do Alto Alegre,4.0,7.0,0.5714285714285714
SP,Rinópolis,4.0,6.0,0.6666666666666666
AL,Cajueiro,4.0,9.0,0.4444444444444444
SE,Carmópolis,4.0,9.0,0.4444444444444444
PB,Baía da Traição,4.0,6.0,0.6666666666666666
SE,Cristinápolis,4.0,8.0,0.5
MG,Capitão Andrade,4.0,7.0,0.5714285714285714
MG,Marilac,4.0,6.0,0.6666666666666666
PR,General Carneiro,4.0,8.0,0.5
MG,Soledade de Minas,4.0,6.0,0.6666666666666666
PR,Cruz Machado,4.0,11.0,0.36363636363636365
BA,João Dourado,4.0,6.0,0.6666666666666666
MG,Virgínia,4.0,5.0,0.8
BA,Inhambupe,4.0,8.0,0.5
BA,Santa Brígida,4.0,6.0,0.6666666666666666
SE,Indiaroba,4.0,7.0,0.5714285714285714
BA,Barro Alto,4.0,6.0,0.6666666666666666
BA,Pedrão,4.0,5.0,0.8
BA,Cipó,4.0,10.0,0.4
SE,Santana do São Francisco,4.0,5.0,0.8
SE,Propriá,4.0,12.0,0.3333333333333333
BA,Olindina,4.0,9.0,0.4444444444444444
SE,Pacatuba,4.0,7.0,0.5714285714285714
BA,Tucano,4.0,11.0,0.36363636363636365
SE,Cedro de São João,4.0,5.0,0.8
BA,Teodoro Sampaio,4.0,5.0,0.8
BA,Gavião,4.0,7.0,0.5714285714285714
PR,Fernandes Pinheiro,4.0,6.0,0.6666666666666666
PB,Pilar,4.0,7.0,0.5714285714285714
RJ,Trajano de Moraes,4.0,10.0,0.4
RJ,Sumidouro,4.0,8.0,0.5
GO,Mimoso de Goiás,4.0,6.0,0.6666666666666666
RJ,Macuco,4.0,4.0,1.0
RJ,Duas Barras,4.0,6.0,0.6666666666666666
BA,Mortugaba,4.0,6.0,0.6666666666666666
MG,Veríssimo,4.0,6.0,0.6666666666666666
PR,Goioxim,4.0,7.0,0.5714285714285714
MT,Dom Aquino,4.0,10.0,0.4
MG,Pratinha,4.0,5.0,0.8
MG,Santa Rosa da Serra,4.0,5.0,0.8
CE,Choró,4.0,6.0,0.6666666666666666
MG,Brazópolis,4.0,7.0,0.5714285714285714
MT,São José do Povo,4.0,8.0,0.5
MG,Passa Vinte,4.0,5.0,0.8
CE,Senador Pompeu,4.0,9.0,0.4444444444444444
MG,Conceição das Pedras,4.0,5.0,0.8
MG,Turvolândia,4.0,5.0,0.8
BA,Malhada,4.0,5.0,0.8
SP,Bento de Abreu,4.0,7.0,0.5714285714285714
GO,Buritinópolis,4.0,6.0,0.6666666666666666
PI,Campinas do Piauí,4.0,6.0,0.6666666666666666
BA,São Felipe,4.0,6.0,0.6666666666666666
SP,Brejo Alegre,4.0,6.0,0.6666666666666666
BA,São Félix,4.0,7.0,0.5714285714285714
BA,Sapeaçu,4.0,9.0,0.4444444444444444
PI,Paes Landim,4.0,6.0,0.6666666666666666
BA,Aratuípe,4.0,5.0,0.8
SP,Braúna,4.0,6.0,0.6666666666666666
BA,Ibipitanga,4.0,7.0,0.5714285714285714
PR,Campina do Simão,4.0,8.0,0.5
PI,Simplício Mendes,4.0,5.0,0.8
GO,Mambaí,4.0,7.0,0.5714285714285714
GO,Varjão,4.0,6.0,0.6666666666666666
PI,Campo Alegre do Fidalgo,4.0,7.0,0.5714285714285714
GO,Iaciara,4.0,7.0,0.5714285714285714
SP,Avanhandava,4.0,7.0,0.5714285714285714
SP,Alto Alegre,4.0,6.0,0.6666666666666666
MG,Água Comprida,4.0,7.0,0.5714285714285714
BA,Jaguaripe,4.0,5.0,0.8
CE,Mombaça,4.0,6.0,0.6666666666666666
MG,Cuparaque,4.0,5.0,0.8
MG,Limeira do Oeste,4.0,7.0,0.5714285714285714
MG,Rubim,4.0,6.0,0.6666666666666666
RN,São José de Mipibu,4.0,11.0,0.36363636363636365
RN,Taipu,4.0,6.0,0.6666666666666666
PR,Inácio Martins,4.0,7.0,0.5714285714285714
MS,Caarapó,4.0,7.0,0.5714285714285714
RN,Goianinha,4.0,7.0,0.5714285714285714
RN,Tibau do Sul,4.0,10.0,0.4
CE,Lavras da Mangabeira,4.0,7.0,0.5714285714285714
PR,Rio Azul,4.0,7.0,0.5714285714285714
MG,Jordânia,4.0,6.0,0.6666666666666666
MG,Santa Vitória,4.0,7.0,0.5714285714285714
PB,Cruz do Espírito Santo,4.0,7.0,0.5714285714285714
PR,Virmond,4.0,7.0,0.5714285714285714
MG,Jacinto,4.0,7.0,0.5714285714285714
BA,Marcionílio Souza,4.0,8.0,0.5
PB,Lucena,4.0,8.0,0.5
MG,Leme do Prado,4.0,6.0,0.6666666666666666
MG,Aricanduva,4.0,6.0,0.6666666666666666
MT,Acorizal,4.0,11.0,0.36363636363636365
PB,Pitimbu,4.0,7.0,0.5714285714285714
MG,Centralina,4.0,7.0,0.5714285714285714
MG,Andrelândia,4.0,6.0,0.6666666666666666
CE,Saboeiro,4.0,7.0,0.5714285714285714
BA,Brotas de Macaúbas,4.0,8.0,0.5
MG,Comercinho,4.0,8.0,0.5
MS,Itaporã,4.0,7.0,0.5714285714285714
MG,Cachoeira de Pajeú,4.0,5.0,0.8
MG,Virgem da Lapa,4.0,7.0,0.5714285714285714
MG,José Gonçalves de Minas,4.0,5.0,0.8
SP,Mirante do Paranapanema,4.0,8.0,0.5
MG,Salto da Divisa,4.0,5.0,0.8
MG,Jenipapo de Minas,4.0,5.0,0.8
MG,Itinga,4.0,5.0,0.8
MG,Coronel Murta,4.0,7.0,0.5714285714285714
MG,Berilo,4.0,7.0,0.5714285714285714
MS,Fátima do Sul,4.0,6.0,0.6666666666666666
CE,Quiterianópolis,4.0,6.0,0.6666666666666666
RN,Maxaranguape,4.0,6.0,0.6666666666666666
MG,Gouveia,4.0,5.0,0.8
RN,Nísia Floresta,4.0,8.0,0.5
CE,Ipaporanga,4.0,7.0,0.5714285714285714
CE,Morada Nova,4.0,9.0,0.4444444444444444
RS,Triunfo,4.0,9.0,0.4444444444444444
RS,Iraí,4.0,6.0,0.6666666666666666
