cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
3527108,2021,13856,78503,176.5028088098544
3527207,2021,10264,89125,115.164095371669
3527256,2021,161,2300,70.0
3527306,2021,10605,49993,212.1296981577421
3527405,2021,11160,21886,509.91501416430594
3527504,2021,411,2403,171.03620474406992
3527603,2021,2952,15292,193.04211352341093
3527702,2021,329,5855,56.19128949615713
3527801,2021,244,4596,53.08964316797215
3527900,2021,221,2636,83.83915022761761
3528007,2021,2207,17214,128.20959683978157
3528106,2021,823,8147,101.01877991898859
3528205,2021,227,3692,61.484290357529794
3528304,2021,285,3102,91.8762088974855
3528403,2021,8491,47441,178.9802069939504
3528502,2021,8711,101937,85.45474165415894
3528601,2021,1057,9910,106.65993945509587
3528700,2021,234,5948,39.34095494283793
3528809,2021,1232,14036,87.7742946708464
3528858,2021,521,3064,170.03916449086162
3528908,2021,180,4091,43.99902224395014
3529005,2021,51168,240590,212.67716862712498
3529104,2021,134,2106,63.62773029439696
3529203,2021,1914,26628,71.8792248760703
3529302,2021,16085,83626,192.34448616458997
3529401,2021,37696,477552,78.93590645626026
3529500,2021,827,5565,148.607367475292
3529609,2021,459,3824,120.03138075313808
3529658,2021,134,1905,70.34120734908136
3529708,2021,1913,22355,85.57369715947216
3529807,2021,846,12966,65.24757056918094
3529906,2021,1612,19643,82.06485771012575
3530003,2021,258,3106,83.06503541532518
3530102,2021,2186,29706,73.58782737494109
3530201,2021,1188,18338,64.78350965208855
3530300,2021,8766,60303,145.3659021939207
3530409,2021,533,4919,108.3553567798333
3530508,2021,8083,68980,117.17889243258915
3530607,2021,66549,450785,147.62913584081102
3530706,2021,24202,153033,158.14889598975384
3530805,2021,17620,93650,188.14735718099305
3530904,2021,457,3508,130.27366020524516
3531001,2021,250,2267,110.27790030877811
3531100,2021,4414,57648,76.56813766305856
3531209,2021,847,8111,104.42608802860313
3531308,2021,8115,50772,159.83219097140156
3531407,2021,2153,25373,84.85397863871044
3531506,2021,2859,18968,150.7275411218895
3531605,2021,339,4166,81.37301968314931
3531704,2021,363,4696,77.29982964224872
3531803,2021,7919,60754,130.3453270566547
3531902,2021,3106,33288,93.30689738043739
3532009,2021,3764,13781,273.12967128655396
3532058,2021,421,4795,87.79979144942648
3532108,2021,242,4506,53.70616955170883
3532157,2021,221,3179,69.5187165775401
3532207,2021,1032,4904,210.44045676998368
3532306,2021,315,6642,47.42547425474255
3532405,2021,1631,18698,87.22858059685528
3532504,2021,876,8923,98.17326011431133
3532603,2021,1047,11527,90.8302246898586
3532702,2021,336,5298,63.42015855039637
3532801,2021,949,7068,134.2671194114318
3532827,2021,728,9860,73.83367139959432
3532843,2021,131,1852,70.73434125269978
3532868,2021,28,1278,21.90923317683881
3532900,2021,1006,11355,88.59533245266402
3533007,2021,1633,21689,75.2916224814422
3533106,2021,133,2325,57.204301075268816
3533205,2021,427,4053,105.35405872193436
3533254,2021,289,5945,48.61227922624054
3533304,2021,165,4160,39.66346153846154
3533403,2021,11695,60956,191.85970208018898
3533502,2021,4791,41414,115.68551697493601
3533601,2021,2392,7478,319.87162342872426
3533700,2021,424,4291,98.81146585877418
3533809,2021,141,2471,57.06191825171995
3533908,2021,10045,55130,182.20569562851443
3534005,2021,787,4422,177.97376752600633
3534104,2021,408,6542,62.3662488535616
3534203,2021,852,7194,118.43202668890743
3534302,2021,5537,44360,124.81965734896303
3534401,2021,120605,699944,172.30664167419107
3534500,2021,241,2603,92.58547829427583
3534609,2021,4645,33000,140.75757575757575
3534708,2021,16829,114352,147.16839233244718
3534757,2021,1156,10539,109.6878261694658
3534807,2021,367,8620,42.5754060324826
3534906,2021,735,14263,51.53193577788684
3535002,2021,1025,13123,78.10714013563971
3535101,2021,565,13486,41.89529882841465
3535200,2021,646,9227,70.01192153462664
3535309,2021,2221,22272,99.72162356321839
3535408,2021,1441,15862,90.84604715672677
