cod_municipio,ano,n_ensino_superior,pop_2021,n_ensino_superior_por_1k_hab
3172103,2021,227,5261,43.14769055312678
3172202,2021,80,2548,31.39717425431711
3200102,2021,1180,30455,38.74569036283041
3200136,2021,480,9631,49.8390613643443
3200169,2021,282,10909,25.850215418461822
3200201,2021,1100,29975,36.69724770642202
3200300,2021,785,14636,53.634872916097294
3200359,2021,192,7874,24.384048768097536
3200409,2021,2389,29779,80.22431915107963
3200508,2021,206,7554,27.270320360074134
3200607,2021,6071,103101,58.884006944646515
3200706,2021,637,12105,52.62288310615448
3200805,2021,1232,31132,39.57342926891944
3200904,2021,1521,44979,33.81578069765891
3201001,2021,603,15092,39.954943016167505
3201100,2021,321,9962,32.22244529211002
3201159,2021,421,12427,33.87784662428583
3201209,2021,12812,210589,60.838885221925175
3201308,2021,13357,383917,34.79137417723101
3201407,2021,2554,37747,67.66100617267597
3201506,2021,8430,123400,68.31442463533226
3201605,2021,1362,31273,43.551945767914816
3201704,2021,385,12806,30.064032484772763
3201803,2021,139,4270,32.55269320843092
3201902,2021,1568,33986,46.13664450067675
3202009,2021,294,6771,43.420469649977846
3202108,2021,619,22835,27.10751040070068
3202207,2021,753,21948,34.308365226899944
3202256,2021,394,12880,30.59006211180124
3202306,2021,1135,31122,36.46937857464173
3202405,2021,5062,126701,39.952328710902044
3202454,2021,773,26426,29.25149474002876
3202504,2021,842,12591,66.87316337066159
3202553,2021,338,8859,38.153290439101475
3202603,2021,796,13973,56.96700780075861
3202652,2021,364,13526,26.911134112080436
3202702,2021,453,14023,32.30407188190829
3202801,2021,1738,34656,50.15004616805171
3202900,2021,260,10494,24.77606251191157
3203007,2021,819,29290,27.961761693410722
3203056,2021,1233,31039,39.724217919391734
3203106,2021,340,12265,27.721157766000815
3203130,2021,809,16722,48.37938045688315
3203163,2021,291,10933,26.616665142229945
3203205,2021,10986,176688,62.1773974463461
3203304,2021,326,15503,21.028188092627232
3203320,2021,1967,38883,50.58766041714888
3203346,2021,738,16920,43.61702127659574
3203353,2021,546,12963,42.11987965748669
3203403,2021,880,26115,33.69710894122152
3203502,2021,1038,18894,54.938075579549064
3203601,2021,284,5496,51.67394468704512
3203700,2021,577,17319,33.31601131705064
3203809,2021,422,15526,27.180213834857657
3203908,2021,2598,50434,51.51286830312884
3204005,2021,532,23306,22.82673989530593
3204054,2021,415,26381,15.731018536067625
3204104,2021,1055,27327,38.606506385625934
3204203,2021,1041,22053,47.20446197796218
3204252,2021,256,7940,32.241813602015114
3204302,2021,1118,11658,95.89981128838566
3204351,2021,793,19271,41.14991437911888
3204401,2021,452,11626,38.8783760536728
3204500,2021,338,12197,27.711732393211445
3204559,2021,1664,41015,40.57052297939778
3204609,2021,1497,23724,63.10065756196257
3204658,2021,540,8687,62.161851041786576
3204708,2021,1294,38522,33.59119464202274
3204807,2021,379,10546,35.937796320879954
3204906,2021,5461,132642,41.17097148716093
3204955,2021,557,12510,44.524380495603516
3205002,2021,29758,527240,56.44108944693119
3205010,2021,1090,30680,35.52803129074316
3205036,2021,718,21591,33.25459682275022
3205069,2021,1665,25745,64.6727519906778
3205101,2021,3558,79500,44.75471698113208
3205150,2021,316,9244,34.184335785374294
3205176,2021,556,14073,39.50827826334115
3205200,2021,27001,501325,53.859272926744126
3205309,2021,114278,365855,312.35872135135503
3300100,2021,6815,207044,32.91570873823922
3300159,2021,518,11901,43.525754138307704
3300209,2021,5065,134293,37.71603881066027
3300225,2021,651,12669,51.38527113426474
3300233,2021,3668,34477,106.38976709110422
3300258,2021,1911,30593,62.465269832968325
3300308,2021,3167,100764,31.429875749275535
3300407,2021,7578,184833,40.99917222573891
3300456,2021,8691,513118,16.93762448403681
3300506,2021,824,27616,29.837775202780996
3300605,2021,1302,37203,34.997177646963955
3300704,2021,10656,230378,46.254416654368036
3300803,2021,1481,59303,24.973441478508676
3300902,2021,325,15514,20.948820420265566
3300936,2021,734,16586,44.25419028095985
3300951,2021,380,8576,44.309701492537314
3301009,2021,22534,511168,44.08335420057593
3301108,2021,771,20168,38.228877429591435
3301157,2021,436,12821,34.006707745105686
3301207,2021,940,19030,49.395691014188124
3301306,2021,1591,45041,35.32337203880908
3301405,2021,670,23398,28.634926062056586
3301504,2021,603,22041,27.35810534912209
3301603,2021,302,11528,26.1970853573907
3301702,2021,29207,924624,31.587975220197617
3301801,2021,529,14071,37.59505365645654
3301850,2021,1966,61388,32.025803088551505
3301876,2021,1193,28837,41.37046155980164
3301900,2021,7713,242543,31.80054670718182
3302007,2021,5629,134819,41.752275272773126
3302056,2021,402,15299,26.276227204392445
3302106,2021,805,23222,34.66540349668418
3302205,2021,4698,103800,45.26011560693642
3302254,2021,3432,32064,107.03592814371258
3302270,2021,2370,105548,22.45423882972676
3302304,2021,324,7326,44.22604422604422
3302403,2021,33831,261501,129.37235421661867
3302452,2021,186,5623,33.07842788547039
3302502,2021,6976,246433,28.307897075472848
3302601,2021,2580,45220,57.05440070765148
3302700,2021,6925,164504,42.09624082089189
3302809,2021,903,18648,48.42342342342342
3302858,2021,3289,176569,18.627278854158998
3302908,2021,876,25581,34.24416559165005
3303005,2021,779,27154,28.688222729616264
3303104,2021,852,15311,55.64626738945856
3303203,2021,3940,162693,24.217391037106697
3303302,2021,47511,515317,92.19761816512943
3303401,2021,10072,191158,52.689398298789484
3303500,2021,20784,823302,25.244685425275293
3303609,2021,965,52683,18.317104189207143
3303708,2021,1532,44518,34.41304640819444
3303807,2021,2069,43680,47.36721611721612
3303856,2021,758,27858,27.20941919735803
3303906,2021,15439,306678,50.34270472612969
3303955,2021,901,25364,35.52278820375335
3304003,2021,1645,29545,55.67777965814859
3304102,2021,474,18960,25.0
3304110,2021,2284,19974,114.34865324922399
3304128,2021,682,14435,47.24627641149983
3304144,2021,3486,151335,23.03498860144712
3304151,2021,830,25126,33.03351110403566
3304201,2021,10954,132312,82.78916500393011
3304300,2021,2718,60573,44.871477390916745
3304409,2021,653,18605,35.098091910776674
3304508,2021,654,9344,69.99143835616438
3304524,2021,7771,155193,50.07313474190202
3304557,2021,755321,6747815,111.9356413891015
3304607,2021,375,10392,36.08545034642032
3304706,2021,1536,42594,36.06141710100014
3304755,2021,786,42210,18.621179815209665
3304805,2021,1022,38710,26.401446654611213
3304904,2021,23831,1091737,21.82851730773987
3305000,2021,3715,36423,101.99599154380473
3305109,2021,7811,472906,16.517024524958448
3305133,2021,377,7206,52.31751318345823
3305158,2021,739,21916,33.71965687169192
3305208,2021,4992,106049,47.07257965657385
3305307,2021,346,9387,36.859486523916054
3305406,2021,811,18249,44.440791276234314
3305505,2021,3747,90583,41.36537760948522
3305554,2021,5383,83092,64.78361334424493
3305604,2021,998,21774,45.834481491687335
3305703,2021,419,15667,26.744111827407927
3305752,2021,1225,34610,35.39439468361745
3305802,2021,9067,184240,49.212983065566654
3305901,2021,269,10640,25.281954887218046
